datum	pilotaaz	helyezes	hiba	csapat	tipus	motor
1956.05.30	191		olajfolyás	Kurtis Kraft	Kurtis 	Offenhauser 
1960.08.14	369		sebességváltó	Scuderia Centro Sud	Cooper 	Maserati 
1956.07.14	654	2		Scuderia Ferrari	Lancia 	Lancia 
1957.05.19	756		kizárták	Officine Alfieri Maserati	Maserati 	Maserati 
1955.09.11	448		sebességváltó	Scuderia Ferrari	Ferrari 	Ferrari 
1956.05.30	164	14		Kurtis Kraft	Kurtis 	Offenhauser 
1958.05.26	54		motor	Vandervell Products Ltd	Vanwall	Vanwall 
1960.08.14	455		sebességváltó	Scuderia Centro Sud	Cooper 	Maserati 
1958.08.03	150	4		Scuderia Ferrari	Ferrari 	Ferrari 
1955.01.16	228		futómû	Equipe Gordini	Gordini 	Gordini 
1960.06.06	19	2		Team Lotus	Lotus 	Climax 
1953.06.21	759	8		Ecurie Rosier	Ferrari 	Ferrari 
1959.09.13	309	11		Scuderia Centro Sud	Cooper 	Maserati 
1952.07.06	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1955.05.22	765		motor	Daimler Benz AG	Mercedes 	Mercedes 
1957.05.30	204		benzinpumpa	Kuzma	Kuzma	Offenhauser 
1955.06.05	606	5		Officine Alfieri Maserati	Maserati 	Maserati 
1956.05.30	508	3		Phillips	Phillips	Offenhauser 
1954.07.17	195		nem rajtolt el	Ecurie Richmond	Cooper 	Bristol 
1953.06.07	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1953.07.05	419	5		Scuderia Ferrari	Ferrari 	Ferrari 
1950.07.02	720	5			Talbot-Lago 	Talbot 
1954.01.17	228	5		Equipe Gordini	Gordini 	Gordini 
1958.01.19	1	4		Scuderia Sud Americana	Maserati 	Maserati 
1955.06.19	111		sebességváltó	Scuderia Ferrari	Ferrari 	Ferrari 
1958.07.06	83	2		Vandervell Products Ltd	Vanwall	Vanwall 
1958.08.24	178	7		Cooper Car Company	Cooper 	Climax 
1956.01.22	53	4		Officine Alfieri Maserati	Maserati 	Maserati 
1955.01.16	316	7		Officine Alfieri Maserati	Maserati 	Maserati 
1950.05.30	456		kiesett	Indianapolis Race Cars	Maserati 	Offenhauser 
1952.07.19	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1952.08.17	248	3		Scuderia Ferrari	Ferrari 	Ferrari 
1950.05.13	583	4		Automobiles Talbot-Darracq SA	Talbot-Lago 	Talbot 
1955.05.30	508		futómû	Phillips	Phillips	Offenhauser 
1953.05.30	191	16		MA Walker	Kurtis 	Offenhauser 
1956.01.22	721		motor	Officine Alfieri Maserati	Maserati 	Maserati 
1958.08.24	606	4		Owen Racing Organisation	BRM 	BRM 
1958.09.07	518	3		Scuderia Ferrari	Ferrari 	Ferrari 
1955.07.16	794		motor	Equipe Gordini	Gordini 	Gordini 
1952.05.30	102		olajnyomás	Federal Auto Associates	Kurtis 	Offenhauser 
1953.05.30	65	16		MA Walker	Kurtis 	Offenhauser 
1958.06.15	54	1		Vandervell Products Ltd	Vanwall	Vanwall 
1956.05.30	495	5		Kurtis Kraft	Kurtis 	Offenhauser 
1960.06.06	178	1		Cooper Car Company	Cooper 	Climax 
1960.06.06	547		karambol	Owen Racing Organisation	BRM 	BRM 
1951.05.30	456	6		Lindsey Hopkins	Moore	Offenhauser 
1953.05.30	31	1		Howard Keck	Kurtis 	Offenhauser 
1958.05.18	355		kizárták	Scuderia Centro Sud	Maserati 	Maserati 
1957.08.18	54		motor	Vandervell Products Ltd	Vanwall	Vanwall 
1960.07.03	115		motor	Reventlow Automobiles Inc	Scarab	Scarab 
1955.06.05	316	7		Officine Alfieri Maserati	Maserati 	Maserati 
1951.10.28	1	1		Alfa Romeo SpA	Alfa 	Alfa 
1959.07.05	83		pályaelhagyás	British Racing Partnership	BRM 	BRM 
1954.08.01	1	1		Daimler Benz AG	Mercedes 	Mercedes 
1954.10.24	1	3		Daimler Benz AG	Mercedes 	Mercedes 
1953.01.18	1		futómû	Officine Alfieri Maserati	Maserati 	Maserati 
1950.05.21	29		karambol	Alfa Romeo SpA	Alfa 	Alfa 
1958.10.19	700		vezérmûtengely	Owen Racing Organisation	BRM 	BRM 
1958.06.15	111	7		Scuderia Centro Sud	Maserati 	Maserati 
1954.10.24	111		sebességváltó	Scuderia Ferrari	Ferrari 	Ferrari 
1954.05.31	191		kiesett	Schroeder	Kurtis 	Offenhauser 
1953.05.30	105	6		Chapman Root	Kurtis 	Offenhauser 
1957.09.08	54	7		Vandervell Products Ltd	Vanwall	Vanwall 
1956.09.02	606		gyújtás	Officine Alfieri Maserati	Maserati 	Maserati 
1954.08.01	767		kormány	Prince Bira	Maserati 	Maserati 
1951.07.01	193	4		G A Vanderwell	Ferrari 	Ferrari 
1958.05.30	259	9		Kurtis Kraft	Kurtis 	Offenhauser 
1953.09.13	583	15		HW Motors	HWM	Alta 
1950.05.21	248		sebességváltó	Scuderia Ferrari	Ferrari 	Ferrari 
1955.07.16	701	8		Stirling Moss Ltd	Maserati 	Maserati 
1957.05.30	259		kerék	Kurtis Kraft	Kurtis 	Offenhauser 
1959.12.12	102		kuplung	Leader Cards Inc	Kurtis 	Offenhauser 
1960.11.20	518	6		Yeoman Credit Racing Team	Cooper 	Climax 
1954.07.17	721	1		Scuderia Ferrari	Ferrari 	Ferrari 
1952.05.18	111		motor	Ecurie Rosier	Ferrari 	Ferrari
1957.07.07	394		kormány	Vandervell Products Ltd	Vanwall	Vanwall 
1954.10.24	779	5		Daimler Benz AG	Mercedes 	Mercedes 
1959.07.18	619		kizárták	Gilby Engineering Ltd	Cooper 	Climax 
1955.01.16	756	4		Daimler Benz AG	Mercedes 	Mercedes 
1957.05.30	360		karambol	Dunn	Dunn	Offenhauser 
1956.09.02	784	5		Connaught Engineering	Connaught 	Alta 
1953.07.18	1	2		Officine Alfieri Maserati	Maserati 	Maserati 
1957.07.07	88	7		Cooper Car Company	Cooper 	Climax 
1960.07.03	226	2		Yeoman Credit Racing Team	Cooper 	Climax 
1959.08.02	756		karambol	British Racing Partnership	BRM 	BRM 
1952.09.07	382		motor	Ecurie Espadon	Ferrari 	Ferrari 
1952.07.06	550		kiesett	Enrico Plate	Maserati 	Plate 
1958.07.19	448	2		Scuderia Ferrari	Ferrari 	Ferrari 
1959.05.31	518	6		Scuderia Ferrari	Ferrari 	Ferrari 
1951.09.16	475	9		Osca Automobili	Osca 	Osca
1952.05.30	709	8		Federal Auto Associates	Kurtis 	Offenhauser 
1951.05.30	430		motor	CG Tuffanelli	Deidt	Offenhauser 
1956.07.01	654		sebességváltó	Scuderia Ferrari	Lancia 	Lancia 
1955.07.16	503	9		Vandervell Products Ltd	Vanwall	Vanwall 
1954.10.24	248		törés	Scuderia Lancia	Lancia 	Lancia 
1950.05.13	696		olajnyomás	Automobiles Talbot-Darracq SA	Talbot-Lago 	Talbot 
1956.07.01	595	9		Equipe Gordini	Gordini 	Gordini 
1959.05.30	186		motor	Leader Cards Inc	Kurtis 	Offenhauser 
1959.07.05	111	11		Rob Walker Racing Team	Cooper 	Climax 
1955.05.30	164		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1956.08.05	584		gyújtás	Scuderia Ferrari	Lancia 	Lancia 
1952.05.30	456	19		Lindesy Hopkins	Lesovsky	Offenhauser 
1956.09.02	129		torziós rúd	Connaught Engineering	Connaught 	Alta 
1951.05.30	766		karambol	Howard Keck	Deidt	Offenhauser 
1958.09.07	448	2		Scuderia Ferrari	Ferrari 	Ferrari 
1959.07.05	309		olajfolyás	Scuderia Centro Sud	Cooper 	Maserati 
1951.09.16	193		motor	British Racing Motors Ltd	BRM 	BRM 
1953.09.13	499		gázadagoló	Connaught Engineering	Connaught 	Lea 
1950.05.21	767	5		Enrico Plate	Maserati 	Maserati 
1954.01.17	1	1		Officine Alfieri Maserati	Maserati 	Maserati 
1956.05.30	677		karambol	Kurtis Kraft	Kurtis 	Novi 
1953.05.30	227		kiesett	3L Racing Team	Kurtis 	Offenhauser 
1955.09.11	283		motor	Equipe Gordini	Gordini 	Gordini 
1957.07.07	316	2		Scuderia Ferrari	Lancia 	Lancia 
1953.07.05	234	9		Officine Alfieri Maserati	Maserati 	Maserati 
1959.07.18	538		kizárták	Ace Garage (Rotherdam)	Cooper 	Climax 
1953.06.21	248	2		Scuderia Ferrari	Ferrari 	Ferrari 
1952.08.03	382	3		Ecurie Espadon	Ferrari 	Ferrari 
1951.09.16	583	8			Talbot-Lago 	Talbot 
1957.07.07	1	1		Officine Alfieri Maserati	Maserati 	Maserati 
1958.07.06	1	4			Maserati 	Maserati 
1960.06.06	150	5		Scuderia Ferrari	Ferrari 	Ferrari 
1951.05.30	163		gyújtás	Ed Walsh	Kurtis 	Offenhauser 
1955.05.30	792		motor	Kurtis Kraft	Kurtis 	Offenhauser 
1951.10.28	653		motor	Scuderia Milano	Maserati 	Maserati 
1953.08.02	505	14		Dora Greifzu	BMW 	BMW 
1950.05.13	419	1		Alfa Romeo SpA	Alfa 	Alfa 
1957.08.18	526		motor		Maserati 	Maserati 
1958.09.07	736		karambol	Scuderia Centro Sud	Maserati 	Maserati 
1954.05.31	421	11		Kurtis Kraft	Kurtis 	Offenhauser 
1952.07.06	767		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1951.05.30	623	3		Jack Hinkle	Kurtis 	Offenhauser 
1950.05.13	550		motor		Maserati 	Maserati 
1955.07.16	1	2		Daimler Benz AG	Mercedes 	Mercedes 
1959.12.12	527		olajfolyás	Camoradi International	Tec-Mec 	Maserati 
1959.05.30	445		karambol	Watson	Watson	Offenhauser 
1956.06.03	140		karambol	Officine Alfieri Maserati	Maserati 	Maserati 
1956.07.14	448		olajfolyás	Owen Racing Organisation	BRM 	BRM 
1950.09.03	42		motor	Scuderia Ferrari	Ferrari 	Ferrari 
1952.08.17	701	8		HW Motors	HWM	Alta 
1953.01.18	735	9		RJ Chase	Cooper 	Bristol 
1950.05.30	163	1		Kurtis Kraft	Kurtis 	Offenhauser 
1959.08.02	547	2		Scuderia Ferrari	Ferrari 	Ferrari 
1958.05.30	677		gázadagoló	Kurtis Kraft	Kurtis 	Novi 
1953.09.13	503		nem teljesítette a távot		Cooper 	Bristol 
1951.07.14	546		törés	Ecurie Rosier	Talbot-Lago 	Talbot 
1950.05.30	353		kiesett	Richard Palmer	Adams	Offenhauser 
1956.06.03	325	3		Officine Alfieri Maserati	Maserati 	Maserati 
1956.08.05	140	4		Officine Alfieri Maserati	Maserati 	Maserati 
1959.05.30	33	11		Kuzma	Kuzma	Offenhauser 
1950.09.03	759	4		Ecurie Rosier	Talbot-Lago 	Talbot 
1952.05.30	800	2		Grancor Auto	Kurtis 	Offenhauser 
1952.05.18	419		kiesett	Scuderia Ferrari	Ferrari 	Ferrari 
1960.05.29	130		motorfelfüggesztés	Team Lotus	Lotus 	Climax 
1953.09.13	379	7		Officine Alfieri Maserati	Maserati 	Maserati 
1955.07.16	765		sebességváltó	Officine Alfieri Maserati	Maserati 	Maserati 
1954.07.17	197	13			Connaught 	Lea 
1955.06.19	779		kicsúszás	Daimler Benz AG	Mercedes 	Mercedes 
1958.08.03	275	10		Team Lotus	Lotus 	Climax 
1960.07.03	695	8		Yeoman Credit Racing Team	Cooper 	Climax 
1953.08.02	741		kiesett		Veritas 	Veritas 
1952.05.30	191		olajpumpa	Hart Fullerton	Kurtis 	Offenhauser 
1955.07.16	499		sebességváltó	Gilby Engineering Ltd	Maserati 	Maserati 
1958.08.03	756		motor	Scuderia Centro Sud	Maserati 	Maserati 
1956.05.30	639	19		Kuzma	Kuzma	Offenhauser 
1956.07.14	499		benzinnyomás	Gilby Engineering Ltd	Maserati 	Maserati 
1951.05.27	546	7		Enrico Plate	Maserati 	Maserati 
1960.05.30	711		kuplung	Kurtis Kraft	Kurtis 	Offenhauser 
1951.05.30	191	4		George Leitenberger	Sherman	Offenhauser 
1959.07.18	222	3		Cooper Car Company	Cooper 	Climax 
1951.05.27	470		karambol	Ecurie Rosier	Talbot-Lago 	Talbot 
1960.05.29	334		futómû	Team Lotus	Lotus 	Climax 
1952.05.30	163	10		Jim Robbins	Kurtis 	Offenhauser 
1952.05.30	623	20		Coast Grain Co	Lesovsky	Offenhauser 
1958.07.06	736	9		Scuderia Centro Sud	Maserati 	Maserati 
1956.08.05	587		karambol	Equipe Gordini	Gordini 	Gordini 
1952.07.06	448		gyújtás	AHM Bryde	Cooper 	Bristol 
1953.07.05	546	15			Osca 	Osca
1959.07.18	185		gázadagoló	Owen Racing Organisation	BRM 	BRM 
1950.06.18	720		motor	Ecurie Leutitia	Talbot-Lago 	Talbot 
1957.05.30	33	10		Lesovsky	Lesovsky	Offenhauser 
1952.07.06	238		sebességváltó	Enrico Plate	Maserati 	Plate 
1952.09.07	606		motor	Equipe Gordini	Gordini 	Gordini 
1958.05.18	599	3		Scuderia Ferrari	Ferrari 	Ferrari 
1954.01.17	165		olajnyomás	Equipe Gordini	Gordini 	Gordini 
1960.11.20	222	3		Cooper Car Company	Cooper 	Climax 
1960.06.19	731		motor	Owen Racing Organisation	BRM 	BRM 
1950.05.30	640	6		Lou Moore	Moore	Offenhauser 
1960.06.06	117		motor	Yeoman Credit Racing Team	Cooper 	Climax 
1957.07.07	417		futómû	Owen Racing Organisation	BRM 	BRM 
1952.07.19	371	9		Connaught Engineering	Connaught 	Lea 
1956.09.02	595		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1958.05.30	43		tûz	Kuzma	Kuzma	Offenhauser 
1957.01.13	83	8		Officine Alfieri Maserati	Maserati 	Maserati 
1954.06.20	300		tûz		Maserati 	Maserati 
1953.08.02	42	8		Scuderia Ferrari	Ferrari 	Ferrari 
1960.05.30	33	14		Kurtis Kraft	Kurtis 	Offenhauser 
1951.05.27	550	5		Alfa Romeo SpA	Alfa 	Alfa 
1958.05.26	355		kizárták	Horace Gould	Maserati 	Maserati 
1955.01.16	248		benzinfolyás	Scuderia Lancia	Lancia 	Lancia 
1959.05.10	178	1		Cooper Car Company	Cooper 	Climax 
1953.08.02	1	2		Officine Alfieri Maserati	Maserati 	Maserati 
1952.07.19	599		gyújtás	HW Motors	HWM	Alta 
1953.09.13	228		motor	OSCA Automobili	Osca 	Osca
1953.05.30	412		olajfolyás	Louis and Bruce Bromme	Bromme	Offenhauser 
1953.08.23	546		nem rajtolt el		Osca 	Osca
1952.08.17	624		nem teljesítette a távot	HW Motors	HWM	Alta 
1958.08.24	83	1		Vandervell Products Ltd	Vanwall	Vanwall 
1955.07.16	46		kiesett	Rob Walker Racing Team	Connaught 	Alta 
1956.07.01	599	1		Scuderia Ferrari	Lancia 	Lancia 
1960.11.20	597		gyújtás	Scuderia Centro Sud	Cooper 	Maserati 
1955.05.22	546	6		Scuderia Lancia	Lancia 	Lancia 
1950.05.30	698		kiesett	Indianapolis Race Cars	Kurtis 	Offenhauser 
1959.08.02	731		olajteknõ	Team Lotus	Lotus 	Climax 
1954.10.24	379		törés	Officine Alfieri Maserati	Maserati 	Maserati 
1953.07.18	374		kiállás		Cooper 	Bristol 
1960.05.29	369		kizárták	Scuderia Centro Sud	Cooper 	Maserati 
1959.05.30	164		motor	Kuzma	Kuzma	Offenhauser 
1959.05.30	196	5		Epperly	Epperly	Offenhauser 
1956.07.01	448	10		Vandervell Products Ltd	Vanwall	Vanwall 
1957.08.04	363		kormány		Cooper 	Climax 
1951.05.27	364		karambol	Scuderia Ferrari	Ferrari 	Ferrari 
1953.07.18	701		kuplung	HW Motors	HWM	Alta 
1959.07.05	462		kizárták	Scuderia Centro Sud	Maserati 	Maserati 
1960.07.16	19	3		Team Lotus	Lotus 	Climax 
1953.07.18	364	9		Atlantic Stable	Cooper 	Alta 
1959.05.30	105	14		Leader Cards Inc	Kurtis 	Offenhauser 
1950.07.02	423		motor	Scuderia Ambrosiana	Maserati 	Maserati 
1958.07.19	606		defekt	Owen Racing Organisation	BRM 	BRM 
1960.05.30	574	5		Lesovsky	Lesovsky	Offenhauser 
1955.05.30	639		benzinpumpa	Kuzma	Kuzma	Offenhauser 
1954.08.01	503		visszalépés	Owen Racing Organisation	Maserati 	Maserati 
1958.08.03	606		kiállás	Owen Racing Organisation	BRM 	BRM 
1960.07.03	743	5		Team Lotus	Lotus 	Climax 
1960.06.19	115		motor	Reventlow Automobiles Inc	Scarab	Scarab 
1956.09.02	499	11		Gilby Engineering Ltd	Maserati 	Maserati 
1959.05.30	102	1		Watson	Watson	Offenhauser 
1955.01.16	111	2		Scuderia Ferrari	Ferrari 	Ferrari 
1953.01.18	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1959.12.12	368		túlhajtás	Connaught Cars / Paul Emery	Connaught 	Alta 
1950.05.21	364		motor		Ferrari 	Ferrari 
1956.05.30	421	2		Kurtis Kraft	Kurtis 	Offenhauser 
1958.05.18	85		kizárták	Andre Testut	Maserati 	Maserati 
1950.05.13	438	8			Talbot-Lago 	Talbot 
1954.01.17	238	6			Maserati 	Maserati 
1956.05.30	186	13		Kurtis Kraft	Kurtis 	Offenhauser 
1958.08.24	111	8		Rob Walker Racing Team	Cooper 	Climax 
1954.07.04	606	6		Equipe Gordini	Gordini 	Gordini 
1952.07.19	735	22		Ecurie Richmond	Cooper 	Bristol 
1953.09.13	784		nem teljesítette a távot	Connaught Engineering	Connaught 	Lea 
1955.05.30	296		kiesett	Kurtis Kraft	Kurtis 	Offenhauser 
1951.07.01	627		motor	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1952.08.03	118	10		HW Motors	HWM	Alta 
1953.08.23	448	3		Scuderia Ferrari	Ferrari 	Ferrari 
1955.01.16	419	3		Scuderia Ferrari	Ferrari 	Ferrari 
1957.08.18	695		differenciálmû		Maserati 	Maserati 
1951.07.29	111		motor	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1954.07.04	532		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1951.07.01	759		sebességváltó	Ecurie Rosier	Talbot-Lago 	Talbot 
1955.05.22	300		sebességváltó	Officine Alfieri Maserati	Maserati 	Maserati 
1960.06.19	130		karambol	Team Lotus	Lotus 	Climax 
1959.05.10	606		motor	Scuderia Ferrari	Ferrari 	Ferrari 
1951.07.29	173		karambol	Alfa Romeo SpA	Alfa 	Alfa 
1956.07.14	111		benzinfolyás	Vandervell Products Ltd	Vanwall	Vanwall 
1956.07.01	238		motor	Vandervell Products Ltd	Vanwall	Vanwall 
1954.08.01	606	10		Equipe Gordini	Gordini 	Gordini 
1954.07.17	248		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1953.06.21	1		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1952.08.03	796	11			Veritas 	Veritas 
1959.07.18	117	10		British Racing Partnership	Cooper 	Borgward
1953.08.02	606		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1954.08.22	1	1		Daimler Benz AG	Mercedes 	Mercedes 
1959.07.18	575		kizárták	David Fry	Fry	Climax 
1952.09.07	503	9		Scuderia Franera	Cooper 	Bristol 
1953.06.21	448	6		Scuderia Ferrari	Ferrari 	Ferrari 
1959.07.05	238	7		Owen Racing Organisation	BRM 	BRM 
1955.09.11	779		sebességváltó	Daimler Benz AG	Mercedes 	Mercedes 
1953.08.23	780		nem azonosított	Equipe Gordini	Gordini 	Gordini 
1953.08.23	1		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1955.05.30	323		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1950.07.02	1	1		Alfa Romeo SpA	Alfa 	Alfa 
1956.08.05	595		kiállás	Equipe Gordini	Gordini 	Gordini 
1951.10.28	595	9		Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1956.07.14	700		motor	Owen Racing Organisation	BRM 	BRM 
1958.05.18	185		karambol	Officine Alfieri Maserati	Maserati 	Maserati 
1950.05.30	677	9		Paul Russo	Nichels	Offenhauser 
1952.08.17	503		kerék	Scuderia Franera	Frazer-Nash 	Bristol 
1957.07.20	355		karambol		Maserati 	Maserati 
1950.09.03	173		motor		Maserati 	Maserati 
1959.05.30	323	6		Epperly	Epperly	Offenhauser 
1955.06.19	595		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1950.05.13	315		futómû		Alta 	Alta
1958.01.19	355	9		Horace Gould	Maserati 	Maserati 
1954.01.17	234		motor	Officine Alfieri Maserati	Maserati 	Maserati 
1950.05.21	111		karambol	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1957.01.13	1	1		Officine Alfieri Maserati	Maserati 	Maserati 
1959.07.18	381		futómû	JB Naylor	JBW	Maserati 
1953.08.02	729	4		Officine Alfieri Maserati	Maserati 	Maserati 
1953.08.23	550		vezérmûtengely		Maserati 	Maserati 
1958.05.18	578		kizárták	Ken Kavanagh	Maserati 	Maserati 
1960.02.07	721	10		Scuderia Ferrari	Ferrari 	Ferrari 
1952.08.03	613		gyújtás	BMW	BMW 	BMW 
1952.07.06	759		motor	Ecurie Rosier	Ferrari 	Ferrari 
1959.05.30	192		karambol	Leader Cards Inc	Kurtis 	Offenhauser 
1960.05.29	36		kizárták	Scuderia Castellotti	Cooper 	Castellotti 
1956.07.14	599		olajnyomás	Scuderia Ferrari	Lancia 	Lancia 
1953.06.07	1		sebességváltó	Officine Alfieri Maserati	Maserati 	Maserati 
1952.09.07	765	6		Scuderia Ferrari	Ferrari 	Ferrari 
1952.08.03	655	4		Scuderia Ferrari	Ferrari 	Ferrari 
1958.08.24	54		karambol	Vandervell Products Ltd	Vanwall	Vanwall 
1955.05.30	707		motor	Kurtis Kraft	Kurtis 	Offenhauser 
1953.09.13	41		motor	HW Motors	HWM	Alta 
1954.10.24	767	9		Prince Bira	Maserati 	Maserati 
1951.09.16	595		motor	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1958.05.18	140		kizárták	Francesco Godia-Sales	Maserati 	Maserati 
1953.05.30	191		kiesett	John Zink	Kurtis 	Offenhauser 
1952.05.18	419		gyújtás	Scuderia Ferrari	Ferrari 	Ferrari 
1950.05.30	33	16		Joe Langley	Langley	Offenhauser 
1952.06.22	457	13			Veritas 	Veritas 
1952.05.18	606	3		Equipe Gordini	Gordini 	Gordini 
1955.01.16	606	6		Officine Alfieri Maserati	Maserati 	Maserati 
1959.05.31	127	10		Ecurie Maarsbergen	Porsche 	Porsche 
1956.05.13	83	1		Officine Alfieri Maserati	Maserati 	Maserati 
1955.05.30	411	11		Kuzma	Kuzma	Offenhauser 
1958.08.24	185		rosszullét	Joakim Bonnier Racing Team	Maserati 	Maserati 
1960.11.20	111	15		Scuderia Centro Sud	Cooper 	Maserati 
1954.10.24	300	4		Officine Alfieri Maserati	Maserati 	Maserati 
1960.05.30	323		motor	Epperly	Epperly	Offenhauser 
1953.09.13	316	7		Officine Alfieri Maserati	Maserati 	Maserati 
1958.05.30	800	5		Epperly	Epperly	Offenhauser 
1952.07.06	419	2		Scuderia Ferrari	Ferrari 	Ferrari 
1955.07.16	779	3		Daimler Benz AG	Mercedes 	Mercedes 
1954.07.04	283		motor	Equipe Gordini	Gordini 	Gordini 
1953.05.30	683		kiesett	John Zink	Kurtis 	Offenhauser 
1952.08.17	606		karburátor	Equipe Gordini	Gordini 	Gordini 
1953.05.30	163		motor	JS Belond	Kurtis 	Offenhauser 
1953.07.05	248	6		Scuderia Ferrari	Ferrari 	Ferrari 
1955.09.11	111	8		Scuderia Ferrari	Ferrari 	Ferrari 
1957.08.04	238	7		Officine Alfieri Maserati	Maserati 	Maserati 
1950.05.30	766	3		Howard Keck	Deidt	Offenhauser 
1952.09.07	408		kizárták	Enrico Plate	Maserati 	Plate 
1958.09.07	83		sebességváltó	Vandervell Products Ltd	Vanwall	Vanwall 
1951.07.14	364	9		G A Vanderwell	Ferrari 	Ferrari 
1954.05.31	704		kiesett	Schroeder	Schroeder	Offenhauser 
1956.07.14	599	2		Scuderia Ferrari	Lancia 	Lancia 
1960.08.14	54	5		Yeoman Credit Racing Team	Cooper 	Climax 
1959.07.05	518	2		Scuderia Ferrari	Ferrari 	Ferrari 
1950.05.13	688		motor	Scuderia Ambrosiana	Maserati 	Maserati 
1951.07.01	546	6		Ecurie Rosier	Talbot-Lago 	Talbot 
1953.06.07	701		gázadagoló	HW Motors	HWM	Alta 
1959.07.18	178	1		Cooper Car Company	Cooper 	Climax 
1960.08.14	607		nem azonosított	Yeoman Credit Racing Team	Cooper 	Climax 
1951.10.28	583		túlhajtás		Talbot-Lago 	Talbot 
1959.05.10	85		kizárták	Monte Carlo Autosport	Maserati 	Maserati 
1952.09.07	176		kizárták		Cisitalia 	BPM
1954.05.31	163		motor	Kurtis Kraft	Kurtis 	Offenhauser 
1959.08.23	547	3		Scuderia Ferrari	Ferrari 	Ferrari 
1960.02.07	19	6		Team Lotus	Lotus 	Climax 
1958.08.24	150	5		Scuderia Ferrari	Ferrari 	Ferrari 
1958.09.07	606		sebességváltó	Owen Racing Organisation	BRM 	BRM 
1953.06.07	721		sebességváltó	Officine Alfieri Maserati	Maserati 	Maserati 
1955.05.30	574	4		Kuzma	Kuzma	Offenhauser 
1952.09.07	729	5		Officine Alfieri Maserati	Maserati 	Maserati 
1951.05.30	698		kuplung	Grancor Auto	Kurtis 	Offenhauser 
1955.05.30	105	9		Kurtis Kraft	Kurtis 	Offenhauser 
1955.06.05	584		sebességváltó	Scuderia Lancia	Lancia 	Lancia 
1958.05.30	163	12		Kurtis Kraft	Kurtis 	Offenhauser 
1954.05.31	511	19		Kurtis Kraft	Kurtis 	Offenhauser 
1952.07.19	118	14		Ecurie Belge	Simca-Gordini 	Gordini
1958.07.06	731		motor	Team Lotus	Lotus 	Climax 
1960.09.04	791	3		Scuderia Ferrari	Ferrari 	Ferrari 
1956.05.30	580		futómû	Kurtis Kraft	Kurtis 	Offenhauser 
1955.09.11	432	5		Officine Alfieri Maserati	Maserati 	Maserati 
1952.07.06	382		motor	Ecurie Espadon	Ferrari 	Ferrari 
1954.05.31	102		kiesett	Pawl	Pawl	Offenhauser 
1957.05.30	296		kiesett	Kurtis Kraft	Kurtis 	Offenhauser 
1955.06.19	83	2		Daimler Benz AG	Mercedes 	Mercedes 
1951.07.01	1	1		Alfa Romeo SpA	Alfa 	Alfa 
1953.01.18	729		futómû	Officine Alfieri Maserati	Maserati 	Maserati 
1958.05.18	431		kizárták	OSCA Automobili	Osca	Osca
1956.09.02	550	7		Scuderia Centro Sud	Maserati 	Maserati 
1952.07.19	344	12			Alta 	Alta 
1952.08.03	465		sebességváltó		HWM	Alta 
1954.05.31	126	19		Kurtis Kraft	Kurtis 	Offenhauser 
1952.05.30	227		olajfolyás	Vincent Granatelli	Bromme	Offenhauser 
1951.05.30	139	3		Jack Hinkle	Kurtis 	Offenhauser 
1958.08.03	599		karambol	Scuderia Ferrari	Ferrari 	Ferrari 
1955.09.11	41	9		Stirling Moss Ltd	Maserati 	Maserati 
1951.07.29	595	7		Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1954.05.31	191	11		Kurtis Kraft	Kurtis 	Offenhauser 
1953.06.21	532	10		HW Motors	HWM	Alta 
1957.05.30	164		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1953.08.02	506		kiesett		AFM	BMW 
1956.05.30	693	6		Kuzma	Kuzma	Offenhauser 
1952.06.22	42	1		Scuderia Ferrari	Ferrari 	Ferrari 
1960.06.06	185		motor	Owen Racing Organisation	BRM 	BRM 
1959.07.18	83	2		British Racing Partnership	BRM 	BRM 
1960.11.20	54		kicsúszás	Yeoman Credit Racing Team	Cooper 	Climax 
1958.07.19	111	8		Rob Walker Racing Team	Cooper 	Climax 
1953.05.30	801	17		Eugene Casaroll	Kurtis 	Offenhauser 
1959.12.12	732		motor		Maserati 	Maserati 
1952.08.03	644		nem rajtolt el		BMW 	BMW 
1960.05.30	192	11		Epperly	Epperly	Offenhauser 
