honnan	hova	mikor	letszam
Szent László tér	Fóti út	11:42	1
Szent László tér	Erdősor út	11:44	1
Szent László tér	Káposztásmegyer, Szilas-patak	11:45	3
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	5:08	1
Vécsey Károly utca	Erdősor út	5:14	1
Vécsey Károly utca	Fóti út	5:29	1
Vécsey Károly utca	Művelődési Központ	5:30	4
Vécsey Károly utca	Vadgesztenye utca	6:02	1
Vécsey Károly utca	Fóti út	6:08	1
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	6:13	1
Vécsey Károly utca	Fóti út	6:15	1
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	6:46	4
Vécsey Károly utca	Hajló utca	6:47	4
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	6:48	2
Vécsey Károly utca	Fóti út	6:51	3
Vécsey Károly utca	Hajló utca	6:58	1
Vécsey Károly utca	Erdősor út	7:14	2
Vécsey Károly utca	Művelődési Központ	7:42	1
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	7:56	1
Vécsey Károly utca	Erdősor út	7:57	1
Vécsey Károly utca	Hajló utca	8:07	2
Vécsey Károly utca	Hajló utca	8:14	4
Vécsey Károly utca	Hajló utca	8:27	2
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	8:28	1
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	8:33	1
Vécsey Károly utca	Vadgesztenye utca	8:53	1
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	9:13	4
Vécsey Károly utca	Hajló utca	9:15	3
Vécsey Károly utca	Művelődési Központ	9:20	1
Vécsey Károly utca	Erdősor út	9:50	1
Vécsey Károly utca	Művelődési Központ	10:20	1
Vécsey Károly utca	Erdősor út	10:20	1
Vécsey Károly utca	Erdősor út	10:41	2
Vécsey Károly utca	Művelődési Központ	10:54	1
Vécsey Károly utca	Fóti út	11:22	1
Vécsey Károly utca	Káposztásmegyer, Szilas-patak	11:58	4
Fóti út	Vadgesztenye utca	5:05	1
Fóti út	Hajló utca	5:18	1
Fóti út	Káposztásmegyer, Szilas-patak	5:19	3
Fóti út	Erdősor út	5:23	2
Fóti út	Művelődési Központ	6:00	1
Fóti út	Művelődési Központ	6:02	4
Fóti út	Vadgesztenye utca	6:02	1
Fóti út	Káposztásmegyer, Szilas-patak	6:05	4
Fóti út	Erdősor út	6:16	3
Fóti út	Művelődési Központ	6:16	3
Fóti út	Művelődési Központ	6:25	3
Fóti út	Vadgesztenye utca	6:28	1
Fóti út	Erdősor út	6:41	1
Fóti út	Művelődési Központ	6:50	4
Fóti út	Művelődési Központ	6:51	2
Fóti út	Káposztásmegyer, Szilas-patak	7:11	1
Fóti út	Vadgesztenye utca	7:15	3
Fóti út	Hajló utca	7:22	1
Fóti út	Hajló utca	7:32	3
Fóti út	Erdősor út	7:35	1
Fóti út	Erdősor út	7:51	2
Fóti út	Vadgesztenye utca	7:51	1
Fóti út	Káposztásmegyer, Szilas-patak	7:57	3
Fóti út	Vadgesztenye utca	8:11	4
Fóti út	Káposztásmegyer, Szilas-patak	8:23	3
Fóti út	Káposztásmegyer, Szilas-patak	8:24	1
Fóti út	Káposztásmegyer, Szilas-patak	8:28	1
Fóti út	Vadgesztenye utca	8:35	2
Fóti út	Vadgesztenye utca	8:40	1
Fóti út	Hajló utca	9:08	1
Fóti út	Káposztásmegyer, Szilas-patak	9:14	4
Fóti út	Erdősor út	9:25	2
Fóti út	Káposztásmegyer, Szilas-patak	9:44	2
Fóti út	Erdősor út	9:44	1
Fóti út	Káposztásmegyer, Szilas-patak	9:50	3
Fóti út	Művelődési Központ	9:55	12
Fóti út	Hajló utca	10:02	3
Fóti út	Művelődési Központ	10:27	2
Fóti út	Erdősor út	10:44	1
Fóti út	Művelődési Központ	10:45	3
Fóti út	Vadgesztenye utca	10:52	4
Fóti út	Vadgesztenye utca	10:55	1
Fóti út	Vadgesztenye utca	11:20	2
Fóti út	Káposztásmegyer, Szilas-patak	11:28	1
Fóti út	Káposztásmegyer, Szilas-patak	11:49	1
Fóti út	Erdősor út	11:49	1
Vadgesztenye utca	Hajló utca	5:18	4
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	5:31	1
Vadgesztenye utca	Hajló utca	5:54	1
Vadgesztenye utca	Művelődési Központ	5:54	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	6:01	1
Vadgesztenye utca	Művelődési Központ	6:03	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	6:11	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	6:23	1
Vadgesztenye utca	Hajló utca	6:24	1
Vadgesztenye utca	Erdősor út	6:50	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	7:02	1
Vadgesztenye utca	Hajló utca	7:06	3
Vadgesztenye utca	Művelődési Központ	7:08	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	7:11	4
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	7:19	4
Vadgesztenye utca	Művelődési Központ	7:32	1
Vadgesztenye utca	Művelődési Központ	7:48	1
Vadgesztenye utca	Erdősor út	7:55	4
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	8:02	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	8:13	2
Vadgesztenye utca	Hajló utca	8:14	3
Vadgesztenye utca	Erdősor út	8:17	2
Vadgesztenye utca	Hajló utca	8:25	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	8:32	1
Vadgesztenye utca	Művelődési Központ	8:35	3
Vadgesztenye utca	Erdősor út	8:36	1
Vadgesztenye utca	Művelődési Központ	8:44	14
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	8:47	4
Vadgesztenye utca	Művelődési Központ	8:50	3
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	9:08	1
Vadgesztenye utca	Hajló utca	9:10	3
Vadgesztenye utca	Erdősor út	9:20	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	9:27	1
Vadgesztenye utca	Hajló utca	9:37	1
Vadgesztenye utca	Művelődési Központ	9:48	1
Vadgesztenye utca	Művelődési Központ	10:20	1
Vadgesztenye utca	Káposztásmegyer, Szilas-patak	10:28	3
Vadgesztenye utca	Hajló utca	11:02	1
Vadgesztenye utca	Művelődési Központ	11:35	1
Vadgesztenye utca	Hajló utca	11:58	2
Erdősor út	Művelődési Központ	5:11	1
Erdősor út	Művelődési Központ	5:16	1
Erdősor út	Művelődési Központ	5:17	1
Erdősor út	Káposztásmegyer, Szilas-patak	5:20	1
Erdősor út	Káposztásmegyer, Szilas-patak	5:21	1
Erdősor út	Hajló utca	5:27	1
Erdősor út	Káposztásmegyer, Szilas-patak	5:36	1
Erdősor út	Káposztásmegyer, Szilas-patak	5:40	2
Erdősor út	Hajló utca	5:42	1
Erdősor út	Művelődési Központ	5:54	1
Erdősor út	Művelődési Központ	6:21	1
Erdősor út	Hajló utca	6:22	3
Erdősor út	Hajló utca	6:27	1
Erdősor út	Káposztásmegyer, Szilas-patak	6:27	3
Erdősor út	Káposztásmegyer, Szilas-patak	6:42	1
Erdősor út	Káposztásmegyer, Szilas-patak	6:47	1
Erdősor út	Hajló utca	6:57	4
Erdősor út	Hajló utca	6:59	2
Erdősor út	Hajló utca	7:20	2
Erdősor út	Káposztásmegyer, Szilas-patak	7:25	1
Erdősor út	Káposztásmegyer, Szilas-patak	7:47	3
Erdősor út	Művelődési Központ	7:52	3
Erdősor út	Hajló utca	8:10	4
Erdősor út	Káposztásmegyer, Szilas-patak	8:15	4
Erdősor út	Káposztásmegyer, Szilas-patak	8:27	2
Erdősor út	Hajló utca	8:27	1
Erdősor út	Hajló utca	8:55	1
Erdősor út	Káposztásmegyer, Szilas-patak	8:57	3
Erdősor út	Káposztásmegyer, Szilas-patak	8:59	2
Erdősor út	Káposztásmegyer, Szilas-patak	9:12	3
Erdősor út	Hajló utca	9:14	1
Erdősor út	Káposztásmegyer, Szilas-patak	9:27	4
Erdősor út	Művelődési Központ	9:28	1
Erdősor út	Hajló utca	9:54	1
Erdősor út	Káposztásmegyer, Szilas-patak	10:02	2
Erdősor út	Káposztásmegyer, Szilas-patak	10:19	1
Erdősor út	Káposztásmegyer, Szilas-patak	10:48	1
Erdősor út	Művelődési Központ	10:48	1
Erdősor út	Művelődési Központ	11:06	1
Erdősor út	Káposztásmegyer, Szilas-patak	11:11	3
Erdősor út	Káposztásmegyer, Szilas-patak	11:23	1
Erdősor út	Hajló utca	11:35	4
Erdősor út	Művelődési Központ	11:43	4
Művelődési Központ	Káposztásmegyer, Szilas-patak	5:01	3
Művelődési Központ	Hajló utca	5:04	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	5:07	2
Művelődési Központ	Káposztásmegyer, Szilas-patak	5:19	1
Művelődési Központ	Hajló utca	5:48	4
Művelődési Központ	Hajló utca	6:00	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	7:06	2
Művelődési Központ	Hajló utca	7:07	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	7:40	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	7:48	4
Művelődési Központ	Hajló utca	8:14	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	8:42	4
Művelődési Központ	Hajló utca	9:05	1
Művelődési Központ	Hajló utca	9:05	10
Művelődési Központ	Káposztásmegyer, Szilas-patak	9:14	2
Művelődési Központ	Hajló utca	9:28	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	9:50	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	9:51	4
Művelődési Központ	Hajló utca	9:55	3
Művelődési Központ	Hajló utca	9:56	3
Művelődési Központ	Hajló utca	9:58	4
Művelődési Központ	Hajló utca	10:06	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	10:13	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	10:29	2
Művelődési Központ	Káposztásmegyer, Szilas-patak	10:43	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	11:04	3
Művelődési Központ	Hajló utca	11:06	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	11:09	3
Művelődési Központ	Káposztásmegyer, Szilas-patak	11:18	1
Művelődési Központ	Hajló utca	11:23	2
Művelődési Központ	Káposztásmegyer, Szilas-patak	11:25	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	11:30	1
Művelődési Központ	Hajló utca	11:40	2
Művelődési Központ	Káposztásmegyer, Szilas-patak	11:52	1
Művelődési Központ	Káposztásmegyer, Szilas-patak	11:58	3
Hajló utca	Káposztásmegyer, Szilas-patak	5:01	3
Hajló utca	Káposztásmegyer, Szilas-patak	5:19	2
Hajló utca	Káposztásmegyer, Szilas-patak	5:27	1
Hajló utca	Káposztásmegyer, Szilas-patak	5:29	1
Hajló utca	Káposztásmegyer, Szilas-patak	5:35	3
Hajló utca	Káposztásmegyer, Szilas-patak	5:35	4
Hajló utca	Káposztásmegyer, Szilas-patak	5:51	1
Hajló utca	Káposztásmegyer, Szilas-patak	5:56	1
Hajló utca	Káposztásmegyer, Szilas-patak	6:00	1
Hajló utca	Káposztásmegyer, Szilas-patak	6:08	3
Hajló utca	Káposztásmegyer, Szilas-patak	6:20	1
Hajló utca	Káposztásmegyer, Szilas-patak	6:25	1
Hajló utca	Káposztásmegyer, Szilas-patak	6:41	1
Hajló utca	Káposztásmegyer, Szilas-patak	6:53	1
Hajló utca	Káposztásmegyer, Szilas-patak	7:00	1
Hajló utca	Káposztásmegyer, Szilas-patak	7:20	1
Hajló utca	Káposztásmegyer, Szilas-patak	7:29	2
Hajló utca	Káposztásmegyer, Szilas-patak	7:34	1
Hajló utca	Káposztásmegyer, Szilas-patak	7:41	1
Hajló utca	Káposztásmegyer, Szilas-patak	7:48	1
Hajló utca	Káposztásmegyer, Szilas-patak	7:51	2
Hajló utca	Káposztásmegyer, Szilas-patak	7:52	4
Hajló utca	Káposztásmegyer, Szilas-patak	7:57	1
Hajló utca	Káposztásmegyer, Szilas-patak	8:00	1
Hajló utca	Káposztásmegyer, Szilas-patak	8:01	1
Hajló utca	Káposztásmegyer, Szilas-patak	8:38	1
Hajló utca	Káposztásmegyer, Szilas-patak	8:39	1
Hajló utca	Káposztásmegyer, Szilas-patak	8:43	3
Hajló utca	Káposztásmegyer, Szilas-patak	9:06	2
Hajló utca	Káposztásmegyer, Szilas-patak	9:15	1
Hajló utca	Káposztásmegyer, Szilas-patak	9:18	1
Hajló utca	Káposztásmegyer, Szilas-patak	9:29	2
Hajló utca	Káposztásmegyer, Szilas-patak	9:44	4
Hajló utca	Káposztásmegyer, Szilas-patak	9:50	1
Hajló utca	Káposztásmegyer, Szilas-patak	9:55	4
Hajló utca	Káposztásmegyer, Szilas-patak	10:20	4
Hajló utca	Káposztásmegyer, Szilas-patak	10:21	2
Hajló utca	Káposztásmegyer, Szilas-patak	10:32	1
Hajló utca	Káposztásmegyer, Szilas-patak	10:35	1
Hajló utca	Káposztásmegyer, Szilas-patak	10:39	1
Hajló utca	Káposztásmegyer, Szilas-patak	10:40	1
Hajló utca	Káposztásmegyer, Szilas-patak	10:41	4
Hajló utca	Káposztásmegyer, Szilas-patak	10:45	3
Hajló utca	Káposztásmegyer, Szilas-patak	11:01	1
Hajló utca	Káposztásmegyer, Szilas-patak	11:02	1
Hajló utca	Káposztásmegyer, Szilas-patak	11:15	2
Hajló utca	Káposztásmegyer, Szilas-patak	11:25	4
Hajló utca	Káposztásmegyer, Szilas-patak	11:25	3
Hajló utca	Káposztásmegyer, Szilas-patak	11:32	1
Hajló utca	Káposztásmegyer, Szilas-patak	11:33	1
Hajló utca	Káposztásmegyer, Szilas-patak	11:33	3
Hajló utca	Káposztásmegyer, Szilas-patak	11:35	2
