munkaazon;megrendeloazon;mtazon;megrenddatum;teljdatum;munkadij;garancia
557;203;204;2009.07.22;2009.08.16;44000;3
558;215;39;2009.07.22;2009.07.30;80000;1
559;43;110;2009.07.22;2009.08.19;18000;2
560;209;297;2009.07.22;2009.08.10;32000;3
561;75;134;2009.07.22;2009.07.23;99000;2
562;254;84;2009.07.22;2009.08.05;69000;1
563;148;212;2009.07.22;2009.07.26;31000;3
564;195;47;2009.07.23;2009.08.18;64000;3
565;178;117;2009.07.23;2009.08.18;42000;1
566;139;144;2009.07.24;2009.07.31;28000;3
567;284;93;2009.07.24;2009.08.09;81000;3
568;193;302;2009.07.25;2009.08.06;57000;3
569;231;77;2009.07.25;2009.07.28;80000;1
570;211;210;2009.07.25;2009.07.26;11000;1
571;40;145;2009.07.26;2009.08.22;46000;3
572;189;166;2009.07.26;2009.08.04;16000;2
573;147;176;2009.07.27;2009.08.09;75000;1
574;233;241;2009.07.27;2009.08.22;91000;2
575;149;167;2009.07.28;2009.08.07;88000;2
576;10;170;2009.07.28;2009.08.07;95000;2
577;17;32;2009.08.01;2009.08.12;99000;2
578;23;131;2009.08.01;2009.08.12;12000;2
579;280;165;2009.08.01;2009.08.30;1000;2
580;296;239;2009.08.01;2009.08.31;42000;2
581;170;64;2009.08.02;2009.08.18;82000;3
582;168;92;2009.08.02;2009.08.07;37000;3
583;177;202;2009.08.02;2009.08.28;62000;3
584;272;119;2009.08.03;2009.08.29;49000;1
585;124;197;2009.08.03;2009.08.19;60000;2
586;134;109;2009.08.04;2009.08.05;3000;3
587;276;339;2009.08.04;2009.09.02;81000;1
588;62;240;2009.08.04;2009.08.22;4000;2
589;275;22;2009.08.04;2009.08.08;29000;1
590;13;161;2009.08.04;2009.08.15;62000;1
591;20;328;2009.08.04;2009.08.13;50000;3
592;91;266;2009.08.04;2009.08.31;42000;3
593;102;51;2009.08.04;2009.08.25;92000;1
594;270;178;2009.08.04;2009.08.25;41000;3
595;110;56;2009.08.05;2009.09.04;95000;2
596;280;130;2009.08.06;2009.08.21;90000;3
597;11;340;2009.08.06;2009.09.01;9000;1
598;78;93;2009.08.08;2009.08.11;84000;3
599;78;87;2009.08.08;2009.09.01;25000;3
600;197;117;2009.08.08;2009.09.04;25000;1
601;280;224;2009.08.08;2009.08.09;48000;3
602;178;312;2009.08.08;2009.08.28;7000;2
603;92;241;2009.08.09;2009.08.25;79000;3
604;172;23;2009.08.09;2009.08.28;14000;3
605;82;165;2009.08.09;2009.08.26;35000;2
606;179;236;2009.08.09;2009.08.15;47000;2
607;162;301;2009.08.10;2009.08.14;83000;1
608;119;96;2009.08.10;2009.08.29;74000;3
609;142;292;2009.08.10;2009.09.03;6000;1
610;77;258;2009.08.10;2009.08.13;9000;1
611;16;125;2009.08.10;2009.08.13;93000;3
612;205;19;2009.08.11;2009.08.31;13000;2
613;123;50;2009.08.11;2009.08.28;51000;1
614;81;117;2009.08.11;2009.09.07;20000;2
615;235;181;2009.08.11;2009.08.31;47000;1
616;115;19;2009.08.12;2009.09.01;88000;3
617;250;302;2009.08.13;2009.08.22;70000;1
618;206;44;2009.08.13;2009.09.08;77000;1
619;200;133;2009.08.14;2009.08.30;20000;2
620;167;29;2009.08.14;2009.08.21;50000;2
621;30;88;2009.08.15;2009.09.09;21000;1
622;240;307;2009.08.15;2009.09.09;98000;2
623;266;220;2009.08.15;2009.08.21;65000;2
624;132;279;2009.08.15;2009.09.12;94000;2
625;22;263;2009.08.17;2009.09.06;69000;1
626;86;149;2009.08.17;2009.09.14;69000;3
627;151;16;2009.08.17;2009.09.01;70000;1
628;201;289;2009.08.17;2009.09.15;13000;1
629;114;80;2009.08.17;2009.09.03;37000;2
630;171;217;2009.08.17;2009.08.19;99000;3
631;78;321;2009.08.18;2009.09.09;8000;3
632;251;317;2009.08.18;2009.09.17;42000;3
633;253;320;2009.08.18;2009.09.02;56000;1
634;153;315;2009.08.18;2009.09.09;66000;3
635;197;42;2009.08.18;2009.08.30;80000;3
636;67;172;2009.08.19;2009.08.20;14000;3
637;58;44;2009.08.19;2009.09.07;14000;2
638;78;302;2009.08.20;2009.09.05;69000;3
639;95;305;2009.08.21;2009.08.24;73000;1
640;243;156;2009.08.21;2009.09.17;7000;2
641;295;237;2009.08.21;2009.08.29;9000;1
642;122;54;2009.08.21;2009.09.02;75000;2
643;151;142;2009.08.21;2009.08.27;7000;3
644;177;50;2009.08.21;2009.08.24;92000;2
645;258;46;2009.08.22;2009.09.20;95000;2
646;116;194;2009.08.22;2009.09.04;75000;3
647;3;87;2009.08.22;2009.08.31;84000;1
648;12;225;2009.08.22;2009.09.04;89000;2
649;285;253;2009.08.23;2009.08.25;33000;2
650;29;181;2009.08.23;2009.08.25;27000;2
651;53;82;2009.08.23;2009.08.30;38000;2
652;263;114;2009.08.23;2009.09.04;10000;1
653;183;29;2009.08.24;2009.09.10;44000;1
654;239;232;2009.08.24;2009.09.08;12000;2
655;84;180;2009.08.24;2009.09.01;87000;3
656;44;175;2009.08.24;2009.08.25;14000;3
657;104;230;2009.08.24;2009.09.03;55000;1
658;83;262;2009.08.25;2009.09.07;80000;2
659;21;316;2009.08.25;2009.09.16;81000;2
660;116;196;2009.08.26;2009.09.11;56000;2
661;14;325;2009.08.26;2009.09.21;53000;3
662;56;272;2009.08.26;2009.08.27;100000;2
663;182;167;2009.08.27;2009.08.28;54000;3
664;68;64;2009.08.27;2009.09.22;33000;2
665;121;162;2009.08.27;2009.08.29;29000;3
666;217;144;2009.08.27;2009.09.09;14000;2
667;106;111;2009.08.28;2009.09.16;72000;1
668;32;282;2009.08.28;2009.09.17;41000;3
669;196;124;2009.08.28;2009.09.04;37000;1
670;161;195;2009.09.01;2009.09.11;82000;1
671;144;233;2009.09.01;2009.09.30;83000;2
672;94;189;2009.09.02;2009.09.07;20000;3
673;151;6;2009.09.02;2009.09.14;34000;1
674;241;125;2009.09.02;2009.09.21;36000;1
675;139;100;2009.09.03;2009.09.24;70000;1
676;73;4;2009.09.03;2009.09.16;5000;1
677;102;21;2009.09.03;2009.09.20;38000;3
678;206;80;2009.09.03;2009.09.16;27000;2
679;269;313;2009.09.04;2009.10.03;96000;2
680;270;237;2009.09.04;2009.09.21;77000;3
681;202;191;2009.09.05;2009.09.15;74000;2
682;282;107;2009.09.05;2009.10.05;78000;2
683;178;71;2009.09.05;2009.09.09;60000;1
684;211;167;2009.09.05;2009.09.13;10000;3
685;260;154;2009.09.06;2009.09.21;22000;3
686;241;32;2009.09.06;2009.09.12;31000;1
687;264;260;2009.09.06;2009.09.21;41000;2
688;134;135;2009.09.06;2009.09.16;27000;3
689;24;90;2009.09.06;2009.09.26;75000;3
690;48;102;2009.09.06;2009.09.11;97000;1
691;64;159;2009.09.07;2009.09.21;52000;1
692;181;199;2009.09.08;2009.09.11;44000;2
693;128;23;2009.09.08;2009.09.21;80000;1
694;262;13;2009.09.08;2009.09.21;10000;3
695;287;20;2009.09.08;2009.09.09;89000;1
696;250;217;2009.09.09;2009.09.11;23000;2
697;154;229;2009.09.09;2009.10.08;93000;2
698;159;64;2009.09.09;2009.10.09;74000;1
699;162;331;2009.09.09;2009.09.20;81000;3
700;225;25;2009.09.09;2009.09.21;20000;2
701;21;30;2009.09.09;2009.10.01;28000;3
702;66;11;2009.09.09;2009.09.29;11000;1
703;206;138;2009.09.09;2009.10.01;38000;2
704;277;36;2009.09.09;2009.09.21;39000;3
705;276;76;2009.09.10;2009.10.05;6000;1
706;220;56;2009.09.10;2009.09.15;16000;2
707;25;222;2009.09.11;2009.09.20;6000;1
708;51;230;2009.09.11;2009.09.25;76000;2
709;72;284;2009.09.11;2009.09.27;7000;1
710;289;210;2009.09.12;2009.09.16;2000;1
711;40;231;2009.09.12;2009.09.25;10000;3
712;8;237;2009.09.12;2009.10.04;75000;3
713;270;252;2009.09.14;2009.10.01;17000;2
714;156;88;2009.09.14;2009.10.06;54000;1
715;27;323;2009.09.14;2009.09.21;12000;1
716;169;197;2009.09.14;2009.09.20;75000;2
717;86;90;2009.09.14;2009.10.07;82000;3
718;182;143;2009.09.15;2009.10.04;77000;1
719;109;173;2009.09.16;2009.09.17;53000;1
720;115;340;2009.09.17;2009.10.08;58000;3
721;51;320;2009.09.17;2009.09.26;55000;3
722;63;276;2009.09.17;2009.10.01;46000;2
723;28;107;2009.09.17;2009.10.03;9000;1
724;259;311;2009.09.18;2009.09.24;4000;2
725;282;162;2009.09.18;2009.09.28;45000;1
726;131;216;2009.09.18;2009.09.20;56000;1
727;293;272;2009.09.18;2009.09.28;38000;3
728;214;278;2009.09.18;2009.10.13;37000;2
729;26;318;2009.09.18;2009.09.23;73000;3
730;61;340;2009.09.18;2009.10.10;72000;1
731;114;244;2009.09.18;2009.09.30;32000;1
732;210;90;2009.09.18;2009.10.14;77000;3
733;249;73;2009.09.19;2009.10.03;13000;2
734;25;185;2009.09.19;2009.10.02;82000;1
735;180;73;2009.09.20;2009.09.21;63000;2
736;206;219;2009.09.20;2009.09.29;88000;3
737;49;246;2009.09.20;2009.10.10;49000;3
738;143;113;2009.09.21;2009.10.11;40000;1
739;153;52;2009.09.21;2009.10.07;40000;2
740;268;60;2009.09.22;2009.10.03;31000;1
741;290;121;2009.09.22;2009.10.06;25000;1
742;1;340;2009.09.22;2009.10.12;24000;3
743;105;235;2009.09.23;2009.10.07;51000;2
744;126;64;2009.09.23;2009.10.14;11000;3
745;163;234;2009.09.24;2009.10.20;88000;2
746;32;48;2009.09.24;2009.10.19;81000;1
747;242;39;2009.09.25;2009.09.29;18000;2
748;294;216;2009.09.25;2009.10.23;29000;1
749;78;145;2009.09.25;2009.10.07;48000;2
750;293;320;2009.09.26;2009.10.14;78000;2
751;111;313;2009.09.26;2009.10.12;48000;2
752;292;291;2009.09.27;2009.10.26;31000;3
753;157;39;2009.09.27;2009.10.02;18000;2
754;212;28;2009.09.28;2009.10.09;52000;2
755;258;43;2009.09.28;2009.10.08;77000;3
756;209;201;2009.09.28;2009.10.23;59000;3
757;297;30;2009.09.28;2009.10.17;73000;2
758;190;297;2009.10.02;2009.10.04;61000;2
759;96;296;2009.10.02;2009.10.27;26000;3
760;265;86;2009.10.02;2009.10.11;100000;3
761;8;229;2009.10.05;2009.11.04;92000;3
762;6;220;2009.10.05;2009.10.30;34000;2
763;9;75;2009.10.06;2009.11.03;50000;3
764;144;150;2009.10.06;2009.10.24;35000;1
765;109;218;2009.10.06;2009.10.14;15000;3
766;271;133;2009.10.07;2009.10.19;18000;3
767;260;91;2009.10.07;2009.10.28;84000;2
768;187;237;2009.10.08;2009.10.25;92000;2
769;36;313;2009.10.08;2009.10.16;89000;2
770;94;222;2009.10.08;2009.10.17;34000;3
771;273;152;2009.10.08;2009.10.30;97000;1
772;288;183;2009.10.08;2009.10.16;93000;2
773;281;182;2009.10.09;2009.10.28;17000;1
774;170;226;2009.10.09;2009.11.08;19000;3
775;66;37;2009.10.09;2009.10.22;42000;3
776;38;240;2009.10.09;2009.11.03;7000;3
777;152;276;2009.10.10;2009.10.17;12000;3
778;291;253;2009.10.10;2009.10.21;83000;2
779;274;125;2009.10.11;2009.10.24;4000;2
780;150;234;2009.10.11;2009.10.16;97000;3
781;60;288;2009.10.12;2009.11.10;44000;2
782;212;318;2009.10.12;2009.10.23;57000;2
783;168;52;2009.10.13;2009.10.29;50000;2
784;80;167;2009.10.14;2009.11.07;72000;3
785;17;65;2009.10.14;2009.11.01;91000;3
786;283;304;2009.10.14;2009.11.11;39000;3
787;205;192;2009.10.15;2009.10.18;80000;2
788;190;220;2009.10.15;2009.11.06;35000;1
789;294;275;2009.10.15;2009.10.23;87000;1
790;79;11;2009.10.15;2009.10.20;51000;2
791;188;145;2009.10.15;2009.10.25;78000;2
792;116;164;2009.10.15;2009.11.13;37000;1
793;72;98;2009.10.16;2009.10.22;77000;1
794;79;308;2009.10.16;2009.10.28;83000;2
795;189;46;2009.10.16;2009.11.09;59000;2
796;185;214;2009.10.16;2009.10.24;20000;3
797;19;96;2009.10.17;2009.10.23;62000;3
798;144;291;2009.10.17;2009.10.30;46000;3
799;47;245;2009.10.17;2009.11.15;24000;3
800;231;272;2009.10.18;2009.10.20;76000;2
801;208;77;2009.10.18;2009.11.06;50000;2
802;157;308;2009.10.19;2009.11.03;21000;2
803;133;65;2009.10.19;2009.10.29;3000;1
804;269;271;2009.10.19;2009.11.05;89000;3
805;167;94;2009.10.19;2009.10.22;10000;3
806;134;302;2009.10.20;2009.11.13;11000;1
807;116;32;2009.10.20;2009.11.10;10000;2
808;52;264;2009.10.20;2009.11.01;91000;1
809;209;177;2009.10.20;2009.11.18;14000;1
810;125;290;2009.10.20;2009.11.13;86000;1
811;169;122;2009.10.21;2009.10.29;94000;1
812;192;262;2009.10.21;2009.10.26;6000;1
813;152;147;2009.10.21;2009.11.06;97000;3
814;171;234;2009.10.22;2009.10.29;39000;1
815;179;125;2009.10.22;2009.10.27;84000;2
816;84;150;2009.10.22;2009.11.07;6000;3
817;197;196;2009.10.22;2009.11.17;97000;3
818;61;11;2009.10.24;2009.11.02;33000;3
819;213;96;2009.10.24;2009.11.04;44000;2
820;62;40;2009.10.24;2009.11.08;57000;2
821;99;186;2009.10.24;2009.10.28;14000;2
822;29;134;2009.10.25;2009.11.17;51000;1
823;171;214;2009.10.25;2009.11.11;18000;3
824;72;11;2009.10.25;2009.11.04;72000;2
825;188;64;2009.10.25;2009.11.05;52000;2
826;66;190;2009.10.25;2009.11.03;45000;3
827;108;40;2009.10.25;2009.11.15;86000;2
828;193;293;2009.10.26;2009.11.12;57000;2
829;100;14;2009.10.26;2009.11.15;77000;2
830;174;74;2009.10.27;2009.10.28;90000;1
831;33;249;2009.10.27;2009.11.17;9000;3
832;48;164;2009.10.27;2009.11.21;65000;2
833;241;14;2009.10.28;2009.10.29;58000;1
834;117;296;2009.10.28;2009.11.24;28000;3
835;78;15;2009.11.01;2009.11.07;81000;1
836;72;334;2009.11.01;2009.11.05;43000;2
837;68;165;2009.11.01;2009.11.13;27000;3
838;128;325;2009.11.01;2009.11.03;25000;3
839;155;272;2009.11.02;2009.11.05;79000;2
840;177;318;2009.11.02;2009.11.05;85000;1
841;7;73;2009.11.02;2009.11.21;19000;1
842;211;83;2009.11.02;2009.11.20;14000;1
843;272;254;2009.11.03;2009.11.30;13000;1
844;282;310;2009.11.03;2009.11.19;78000;2
845;177;31;2009.11.03;2009.11.17;30000;2
846;106;163;2009.11.04;2009.11.29;50000;1
847;41;243;2009.11.05;2009.12.02;76000;1
848;15;81;2009.11.05;2009.11.08;57000;2
849;75;230;2009.11.05;2009.11.10;63000;2
850;223;93;2009.11.05;2009.11.07;59000;1
851;31;318;2009.11.05;2009.11.21;93000;3
852;280;9;2009.11.05;2009.11.26;50000;2
853;127;70;2009.11.06;2009.11.20;77000;2
854;273;81;2009.11.06;2009.11.24;85000;2
855;239;213;2009.11.06;2009.11.09;72000;2
856;144;147;2009.11.06;2009.11.13;32000;1
857;34;265;2009.11.07;2009.11.27;43000;2
858;50;131;2009.11.07;2009.12.04;45000;3
859;109;281;2009.11.07;2009.11.17;55000;2
860;31;58;2009.11.08;2009.11.27;72000;1
861;175;279;2009.11.08;2009.11.17;85000;2
862;295;258;2009.11.08;2009.12.03;74000;2
863;116;155;2009.11.09;2009.11.25;64000;3
864;243;93;2009.11.10;2009.11.23;85000;3
865;106;264;2009.11.10;2009.12.09;38000;3
866;58;113;2009.11.10;2009.12.10;79000;3
867;153;225;2009.11.12;2009.11.29;58000;1
868;151;43;2009.11.12;2009.12.07;81000;3
869;105;24;2009.11.12;2009.11.30;94000;2
870;85;50;2009.11.12;2009.12.08;86000;1
871;79;130;2009.11.13;2009.11.29;75000;2
872;124;243;2009.11.13;2009.12.12;16000;1
873;115;104;2009.11.13;2009.11.24;52000;2
874;40;239;2009.11.13;2009.11.30;92000;2
875;35;64;2009.11.14;2009.12.03;87000;2
876;278;49;2009.11.14;2009.12.08;41000;1
877;258;246;2009.11.14;2009.12.05;70000;1
878;249;201;2009.11.14;2009.11.25;15000;3
879;245;120;2009.11.14;2009.12.11;51000;3
880;179;139;2009.11.14;2009.12.14;51000;3
881;219;305;2009.11.14;2009.12.05;12000;2
882;261;136;2009.11.14;2009.11.30;42000;2
883;3;61;2009.11.15;2009.12.09;53000;2
884;111;140;2009.11.15;2009.11.30;39000;2
885;202;236;2009.11.15;2009.12.07;4000;3
886;151;288;2009.11.16;2009.11.20;80000;2
887;291;198;2009.11.16;2009.12.03;65000;1
888;44;75;2009.11.16;2009.11.24;40000;1
889;174;160;2009.11.16;2009.11.23;74000;1
890;116;57;2009.11.17;2009.12.14;9000;1
891;239;311;2009.11.17;2009.11.21;90000;2
892;152;199;2009.11.17;2009.12.17;88000;3
893;68;181;2009.11.17;2009.11.20;12000;1
894;145;258;2009.11.17;2009.12.14;25000;3
895;194;17;2009.11.17;2009.11.21;14000;3
896;231;241;2009.11.18;2009.11.26;59000;1
897;75;284;2009.11.18;2009.12.02;14000;2
898;64;24;2009.11.19;2009.12.05;100000;2
899;108;237;2009.11.19;2009.12.08;57000;1
900;70;89;2009.11.20;2009.12.16;27000;2
901;101;319;2009.11.21;2009.11.27;35000;3
902;239;254;2009.11.21;2009.12.07;20000;1
903;84;339;2009.11.22;2009.12.19;21000;3
904;201;218;2009.11.22;2009.12.20;8000;2
905;206;67;2009.11.22;2009.12.03;37000;1
906;289;2;2009.11.23;2009.12.12;47000;2
907;97;115;2009.11.24;2009.12.16;41000;2
908;43;169;2009.11.25;2009.12.23;18000;1
909;216;81;2009.11.25;2009.12.02;40000;3
910;237;103;2009.11.25;2009.12.13;59000;3
911;97;149;2009.11.25;2009.12.06;33000;2
912;289;166;2009.11.26;2009.12.03;13000;1
913;5;220;2009.11.26;2009.12.10;71000;1
914;256;66;2009.11.27;2009.12.05;6000;2
915;176;229;2009.11.27;2009.12.13;49000;2
916;10;103;2009.11.28;2009.12.18;48000;1
917;149;311;2009.11.28;2009.12.28;17000;2
918;192;171;2009.11.28;2009.12.20;60000;2
919;224;220;2009.11.28;2009.12.04;22000;3
920;77;313;2009.12.01;2009.12.11;23000;1
921;284;226;2009.12.01;2009.12.27;70000;3
922;49;234;2009.12.01;2009.12.15;60000;3
923;246;14;2009.12.01;2009.12.26;17000;3
924;120;47;2009.12.01;2009.12.03;32000;2
925;197;27;2009.12.01;2009.12.13;82000;2
926;254;171;2009.12.02;2009.12.05;68000;2
927;164;227;2009.12.02;2009.12.28;85000;2
928;21;107;2009.12.02;2009.12.05;14000;1
929;117;213;2009.12.03;2009.12.15;12000;2
930;218;295;2009.12.03;2009.12.29;14000;3
931;287;276;2009.12.03;2009.12.08;5000;1
932;285;141;2009.12.04;2009.12.05;6000;2
933;177;337;2009.12.04;2009.12.30;76000;1
934;226;10;2009.12.04;2009.12.23;51000;2
935;67;273;2009.12.04;2009.12.30;44000;1
936;119;85;2009.12.05;2010.01.01;87000;3
937;254;101;2009.12.05;2009.12.24;100000;1
938;149;319;2009.12.06;2010.01.05;1000;3
939;209;291;2009.12.06;2009.12.18;98000;1
940;31;2;2009.12.07;2009.12.30;34000;2
941;174;185;2009.12.07;2009.12.19;66000;3
942;5;304;2009.12.07;2009.12.13;6000;3
943;87;44;2009.12.07;2009.12.08;48000;1
944;57;2;2009.12.08;2009.12.31;67000;3
945;297;112;2009.12.08;2009.12.09;64000;3
946;293;149;2009.12.08;2010.01.01;77000;2
947;1;24;2009.12.08;2009.12.12;5000;2
948;134;248;2009.12.08;2009.12.29;3000;1
949;88;265;2009.12.08;2009.12.19;42000;3
950;35;165;2009.12.09;2010.01.06;49000;2
951;232;334;2009.12.09;2009.12.22;67000;3
952;253;24;2009.12.09;2010.01.02;4000;1
953;39;261;2009.12.09;2010.01.05;57000;1
954;230;248;2009.12.09;2009.12.28;24000;1
955;177;293;2009.12.10;2010.01.02;61000;2
956;93;292;2009.12.10;2009.12.31;27000;3
957;88;126;2009.12.11;2010.01.07;21000;2
958;260;91;2009.12.11;2009.12.14;26000;2
959;222;159;2009.12.11;2009.12.28;100000;2
960;215;213;2009.12.12;2010.01.06;74000;3
961;206;188;2009.12.12;2009.12.21;56000;1
962;10;171;2009.12.12;2009.12.14;48000;1
963;141;223;2009.12.13;2009.12.31;27000;3
964;61;211;2009.12.13;2009.12.16;43000;3
965;157;47;2009.12.13;2009.12.19;42000;3
966;279;96;2009.12.13;2009.12.15;5000;3
967;224;325;2009.12.13;2009.12.24;68000;1
968;184;24;2009.12.14;2010.01.06;77000;1
969;229;3;2009.12.14;2009.12.30;66000;2
970;3;96;2009.12.15;2009.12.25;81000;1
971;119;134;2009.12.15;2009.12.25;85000;1
972;103;238;2009.12.16;2009.12.21;15000;2
973;251;185;2009.12.17;2010.01.10;73000;2
974;83;222;2009.12.17;2009.12.22;81000;3
975;113;197;2009.12.18;2010.01.10;20000;1
976;87;168;2009.12.19;2010.01.03;39000;3
977;175;119;2009.12.19;2009.12.23;16000;2
978;158;310;2009.12.19;2009.12.20;80000;1
979;119;10;2009.12.19;2009.12.25;47000;1
980;48;246;2009.12.19;2010.01.13;29000;1
981;140;64;2009.12.20;2010.01.18;5000;1
982;208;26;2009.12.20;2010.01.19;73000;2
983;215;252;2009.12.21;2010.01.10;26000;2
984;285;66;2009.12.21;2009.12.28;10000;2
985;5;65;2009.12.22;2010.01.01;58000;3
986;148;23;2009.12.22;2010.01.15;26000;2
987;78;11;2009.12.23;2010.01.06;48000;3
988;229;265;2009.12.23;2010.01.12;100000;2
989;158;105;2009.12.23;2009.12.29;53000;3
990;97;114;2009.12.23;2009.12.24;25000;2
991;266;206;2009.12.24;2010.01.02;85000;3
992;231;59;2009.12.24;2010.01.21;65000;3
993;16;8;2009.12.25;2010.01.24;72000;2
994;117;258;2009.12.26;2010.01.02;26000;1
995;14;303;2009.12.26;2009.12.27;46000;2
996;151;310;2009.12.26;2010.01.04;64000;2
997;162;98;2009.12.27;2010.01.04;58000;3
998;36;266;2009.12.28;2010.01.16;6000;1
999;155;207;2009.12.28;2010.01.12;19000;2
1000;110;216;2009.12.28;2010.01.03;4000;1
