ev	szakaz	ossz	elso	felvett	pont	forma	munkarend	tamogatott
2008	158	76	2	2	162	A	N	0
2011	192	16	2	0		M	N	0
2012	27	23	10	7	65	M	N	1
2011	192	57	15	0		M	N	1
2009	75	1	0	0		M	N	0
2011	155	66	5	19	320	A	N	0
2007	99	28	3	0		A	N	0
2012	74	58	9	18	316	A	N	0
2010	190	2	1	1	53	M	N	1
2009	72	6	0	0		M	N	0
2007	91	85	11	13	102	A	N	0
2008	204	3	0	0		M	N	1
2008	18	127	32	16	446	A	N	1
2012	153	495	32	24	340	A	N	0
2012	168	70	14	2	406	A	N	1
2011	108	1	0	0		A	N	0
2009	199	17	2	2	95	M	N	1
2010	179	14	2	1	32	M	L	0
2012	202	1	0	0	76	M	N	0
2009	134	612	249	161	345	A	N	1
2011	58	5	1	3	314	A	N	0
2011	25	102	39	20	424	A	N	1
2012	129	245	7	15	375	A	N	0
2008	16	3	1	0		A	N	0
2009	30	10	3	2	72	M	N	1
2010	212	1	0	0		M	N	0
2010	31	1	0	0	59	M	N	0
2010	146	25	16	13	70	M	N	1
2011	154	27	24	15	60	M	N	1
2012	109	275	24	66	308	A	N	0
2011	111	347	119	128	200	A	L	0
2012	44	75	5	19	325	A	N	0
2010	20	1	0	0	41	M	N	1
2010	33	863	328	168	310	A	N	1
2007	103	196	32	42	119	A	N	1
2009	111	348	124	150	167	A	L	0
2010	171	5	1	1	67	M	N	0
2010	194	2	1	1	54	M	N	1
2012	131	4	3	1	70	M	N	1
2012	15	2	0	0		M	N	0
2009	172	49	6	5	31	M	L	0
2009	17	73	17	12	71	M	L	0
2009	142	8	0	0		A	N	0
2012	164	67	9	0		A	L	0
2008	111	324	111	126	165	A	L	0
2009	149	46	23	21	92	M	N	1
2010	42	25	13	9	55	M	N	1
2012	192	73	19	16	92	M	N	1
2008	44	41	2	0		A	N	0
2007	10	68	25	6	140	A	N	1
2012	147	23	10	5	436	A	N	1
2011	199	1	0	0	62	M	N	0
2010	11	16	6	3	71	M	N	1
2009	190	27	23	22	59	M	N	1
2010	195	44	7	7	427	A	N	0
2012	132	49	25	19	24	M	N	1
2012	205	8	3	4	73	M	N	1
2011	177	4	1	1	88	M	N	0
2008	207	23	11	0		M	L	0
2012	198	6	3	0		M	L	0
2007	93	172	18	15	138	A	N	0
2011	136	19	11	7	75	M	N	1
2010	153	34	9	4	80	M	E	0
2010	112	2	0	0	75	M	N	0
2010	110	35	20	13	56	M	L	1
2009	72	34	18	15	74	M	N	1
2010	9	1	1	0		M	N	0
2012	46	6	4	4	81	M	N	1
2008	200	60	5	4	216	A	N	0
2008	153	50	32	24	80	M	E	1
2010	200	48	3	5	306	A	N	0
2010	106	21	9	6	431	A	N	1
2009	198	1	1	1	93	M	N	0
2011	132	577	206	239	291	A	L	0
2008	133	715	319	266	367	A	N	1
2012	164	107	30	0		A	L	1
2010	34	7	1	0		A	N	0
2011	149	7	1	1	96	M	N	0
2012	200	599	159	148	370	A	N	1
2007	158	449	135	189	87	A	N	1
2012	40	169	50	28	37	M	N	1
2012	165	22	7	3	84	M	N	1
2012	47	7	1	1	92	M	N	0
2011	212	3	0	0		M	N	0
2009	97	8	2	3	356	A	N	0
2009	193	9	7	5	67	M	N	1
2012	197	20	7	4	63	M	N	1
2010	208	61	35	15	42	M	N	1
2009	33	136	39	67	175	A	E	0
2010	73	53	26	20	45	M	N	1
2011	63	7	0	1	386	A	N	0
2011	47	42	35	17	70	M	N	1
2008	185	1242	407	198	427	A	N	1
2012	59	3	0	0	58	M	L	0
2012	170	58	3	2	62	M	N	0
2010	132	616	338	107	390	A	L	1
2010	133	34	3	2	85	M	N	0
2009	164	16	6	0		M	L	0
2007	40	556	153	29	144	A	N	1
2010	158	58	14	15	206	A	E	0
2011	75	1	0	0		M	N	0
2010	131	4	0	0	56	M	L	0
2010	209	2	1	0		M	N	0
2012	51	80	29	23	49	M	L	1
2008	55	112	17	7	82	M	E	0
2011	168	28	1	0		A	N	0
2011	199	13	4	4	62	M	N	1
2011	118	7	1	2	392	A	N	0
2010	71	3	3	3	65	M	N	1
2011	142	8	1	3	344	A	N	0
2009	109	514	136	63	419	A	N	1
2010	180	36	10	10	410	A	N	1
2009	153	11	7	2	90	M	N	1
2009	60	2	0	0		M	N	0
2010	14	3	0	0	58	M	N	0
2008	55	27	20	16	50	M	N	1
2009	51	449	151	56	423	A	N	1
2011	202	3	0	0	86	M	L	1
2008	164	70	0	1	319	A	N	0
2012	10	23	7	2	438	A	N	1
2009	76	48	8	13	384	A	N	1
2011	87	3	0	0	83	M	N	1
2010	196	226	117	119	47	M	N	1
2010	37	10	2	0	48	M	L	0
2011	91	78	10	9	348	A	N	0
2008	158	43	10	10	208	A	E	0
2012	3	1	1	1	72	M	L	0
2012	44	146	52	28	419	A	N	1
2012	93	162	12	14	412	A	N	0
2007	134	130	12	22	112	A	N	0
2012	57	345	16	88	302	A	N	0
2007	10	28	1	6	127	A	N	0
2007	158	49	7	10	80	A	E	0
2011	65	60	45	35	92	M	N	1
2012	97	15	0	4	346	A	N	0
2011	115	73	4	5	364	A	N	0
2009	1	3	0	0		M	N	0
2009	125	1	0	0		A	N	1
2012	67	34	11	8	79	M	N	1
2012	18	167	58	26	438	A	N	1
2012	88	50	0	4	362	A	N	0
2011	59	39	16	10	49	M	N	1
2011	59	7	1	0	49	M	N	0
2011	191	1	1	1	73	M	N	0
2009	97	54	20	10	380	A	N	1
2010	201	481	109	44	392	A	N	1
2010	109	39	5	0		M	L	0
2011	157	3	1	0	14	M	N	1
2009	59	18	12	12	73	M	N	1
2009	183	188	10	12	386	A	N	0
2012	185	716	224	87	422	A	N	1
2012	199	32	6	3	57	M	N	1
2009	56	1	1	0		M	N	1
2010	60	71	21	16	90	M	N	1
2011	110	20	11	7	68	M	L	1
2010	9	2	0	0		M	N	1
2010	50	31	3	4	50	M	N	0
2012	111	224	82	72	240	A	L	0
2010	9	1	1	0		M	N	0
2010	60	46	28	17	90	M	L	1
2007	214	325	39	45	124	A	N	0
2008	88	64	12	20	378	A	N	1
2011	25	18	1	2	416	A	N	0
2012	52	21	10	8	82	M	N	1
2011	146	1	0	0	79	M	N	0
2012	189	8	0	0		A	N	0
2011	90	6	0	1	332	A	N	0
2011	181	3	0	0		M	N	1
2012	77	2	1	1	54	M	N	1
2011	194	1	1	0	1	M	N	1
2008	91	459	139	166	260	A	N	1
2011	10	23	4	8	329	A	N	0
2009	186	33	18	16	65	M	L	1
2012	179	3	1	1	68	M	N	1
2012	45	177	90	15	401	A	L	1
2011	185	747	247	198	401	A	N	1
2011	206	68	33	19	57	M	N	1
2012	184	5	5	3	56	M	N	0
2009	155	62	3	2	375	A	N	0
2011	18	34	8	4	434	A	N	0
2011	116	35	20	16	57	M	L	1
2008	164	287	95	109	308	A	N	1
2009	97	12	6	0		A	E	0
2009	56	1	0	0		M	N	0
2011	96	18	7	4	77	M	N	0
2010	164	40	7	0		A	L	0
2012	173	7	1	1	86	M	N	0
2012	55	21	0	0		M	N	0
2012	49	11	1	1	85	M	N	0
2011	26	12	9	6	47	M	N	1
2011	76	8	1	1	376	A	N	0
2012	152	2	1	1	86	M	N	1
2009	167	63	36	26	90	M	N	1
2007	106	15	2	7	111	A	N	0
2010	106	9	0	3	376	A	N	0
2009	197	7	1	1	91	M	N	1
2008	113	87	1	2	227	A	N	0
2012	64	2	1	2	289	A	N	0
2010	173	16	15	11	68	M	N	1
2011	43	3	1	0	74	M	N	1
2011	89	2	1	1	75	M	N	1
2012	138	2	0	0	83	M	N	0
2010	198	67	4	18	342	A	N	0
2012	176	7	4	3	60	M	N	0
2009	148	123	41	45	350	A	N	1
2010	114	2	0	1	50	M	N	0
2012	182	60	22	13	92	M	N	1
2010	130	57	1	1	91	M	N	0
2011	94	829	196	84	413	A	N	1
2007	153	1429	598	526	107	A	N	1
2012	210	47	10	7	49	M	L	0
2009	68	1	1	0		M	N	0
2011	195	61	9	3	416	A	N	0
2012	193	21	14	6	54	M	N	1
2010	165	1	1	0		M	N	0
2011	17	40	22	7	70	M	L	1
2007	5	73	9	22	115	A	N	0
2012	29	3	0	0		M	N	0
2010	205	19	14	11	78	M	N	1
2010	206	77	32	12	52	M	N	1
2007	33	156	72	17	109	A	E	1
2012	25	124	51	23	433	A	N	1
2007	51	555	160	45	133	A	N	1
2010	74	51	7	13	348	A	N	0
2009	46	5	2	2	78	M	N	1
2012	90	1	0	0		A	N	0
2012	97	66	35	8	398	A	N	1
2011	179	8	2	0	12	M	L	0
2011	10	29	11	2	428	A	N	1
2007	164	84	40	29	112	A	E	1
2008	132	729	244	407	281	A	L	0
2010	57	934	299	173	405	A	N	1
2007	118	27	8	9	130	A	N	1
2011	156	54	5	1	420	A	N	0
2012	164	133	8	40	280	A	N	0
2010	127	63	21	17	336	A	N	1
2011	17	19	4	3	70	M	L	0
2010	174	4	1	0		M	L	0
2009	113	50	1	1	281	A	N	0
2010	92	1	0	0		M	N	0
2011	37	14	6	3	69	M	L	1
2011	149	61	20	18	90	M	N	1
2010	168	30	1	0		A	N	0
2009	133	25	5	2	75	M	N	0
2012	172	36	26	14	46	M	N	1
2009	203	1	0	0		M	N	0
2009	173	13	9	8	73	M	N	1
2009	11	5	2	1	79	M	N	1
2011	153	181	90	97	202	A	E	0
2007	111	435	157	167	81	A	L	0
2009	207	3	1	1	76	M	N	0
2009	64	11	4	5	356	A	N	1
2010	213	8	6	4	48	M	L	1
2011	147	34	16	7	426	A	N	1
2010	7	3	1	1	45	M	L	0
2011	51	258	54	57	310	A	L	0
2007	115	120	10	3	127	A	N	0
2010	210	77	26	18	60	M	L	0
2010	51	415	216	49	401	A	L	1
2008	97	9	5	0		A	E	0
2012	138	8	5	3	83	M	N	1
2007	98	17	2	1	144	A	N	0
2009	74	58	9	19	377	A	N	0
2010	57	137	77	68	60	M	N	1
2009	164	41	1	1	408	A	N	0
2009	138	2	2	2	82	M	N	0
2011	144	35	4	4	408	A	N	0
2009	65	16	2	1	91	M	N	0
2012	80	90	43	26	419	A	N	1
2008	164	68	21	25	270	A	E	1
2010	164	11	1	1	95	M	L	0
2010	55	94	54	36	45	M	N	1
2011	77	2	2	2	81	M	N	1
2012	75	4	2	2	80	M	N	1
2010	123	285	29	33	320	A	N	0
2009	168	2	2	2	90	M	N	1
2008	164	1	1	1	75	M	L	0
2011	74	95	33	9	428	A	N	1
2009	10	25	2	9	204	A	N	0
2010	132	117	12	3	45	M	L	0
2010	210	10	3	2	41	M	N	1
2009	209	2	2	2	85	M	N	1
2011	114	1	0	0	1	M	N	0
2012	109	86	26	17	92	M	N	1
2009	149	9	0	0		M	N	0
2009	93	294	155	39	440	A	N	1
2012	55	106	52	37	46	M	N	1
2009	44	163	66	68	349	A	N	1
2012	145	3	0	0		M	N	0
2011	153	4	0	0		M	N	0
2012	70	3	2	1	84	M	N	1
2012	177	3	1	0		M	N	0
2010	153	4	1	0		M	N	0
2010	143	1	0	0	59	M	N	1
2012	181	3	1	0	76	M	N	1
2010	70	7	3	1	85	M	N	1
2011	51	111	7	2	407	A	N	0
2009	120	36	8	14	350	A	N	1
2008	19	12	2	0		M	N	0
2012	157	2	2	1	50	M	N	1
2011	138	10	6	5	78	M	N	1
2008	111	47	47	44	165	A	L	0
2007	185	1141	431	161	135	A	N	1
2011	147	22	4	9	332	A	N	0
2009	144	114	34	10	435	A	N	1
2012	7	4	0	0	44	M	L	0
2009	14	18	11	6	31	M	N	1
2010	4	12	0	0		M	N	0
2012	186	64	41	31	46	M	N	1
2012	203	2	1	1	88	M	N	1
2012	163	1	1	0		M	N	1
2010	132	45	25	17	48	M	N	1
2012	146	23	16	14	50	M	N	1
2010	176	5	3	3	67	M	N	0
2010	113	583	119	147	302	A	N	1
2011	99	7	0	0		A	N	0
2010	208	22	0	0		M	N	0
2009	137	312	160	178	160	A	L	0
2010	82	121	75	59	59	M	N	1
2009	70	2	0	0		M	N	0
2011	214	44	44	42	347	A	N	0
2009	185	1013	379	190	429	A	N	1
2010	41	158	100	75	70	M	N	1
2011	142	28	4	3	379	A	N	1
2012	64	2	1	0		A	N	1
2010	179	12	3	0	58	M	N	1
2012	12	2	0	0		M	N	1
2012	59	40	19	12	58	M	N	1
2010	153	25	17	10	84	M	N	1
2011	205	3	0	1	48	M	N	0
2009	205	2	0	0		M	N	0
2010	153	180	92	104	209	A	E	0
2011	196	257	115	102	75	M	N	1
2010	171	2	1	0		M	N	1
2010	143	1	0	0	59	M	L	1
2007	44	34	1	3	102	A	N	0
2011	171	22	15	15	72	M	N	1
2012	142	6	0	3	316	A	N	0
2007	198	49	3	19	92	A	N	0
2010	197	1	1	1	74	M	N	0
2011	168	2	1	0		M	N	0
2012	134	596	229	156	360	A	N	1
2008	115	93	2	3	319	A	N	0
2011	179	4	1	1	64	M	N	0
2009	71	1	0	0		M	N	0
2008	144	19	2	1	355	A	N	0
2011	180	5	0	1	304	A	N	0
2012	69	11	0	0		M	N	0
2012	179	1	0	0	68	M	N	0
2008	185	535	32	28	419	A	N	0
2010	119	13	8	4	68	M	N	1
2007	125	2	0	0		A	N	1
2009	51	57	31	24	62	M	N	1
2009	187	4	4	3	26	M	N	0
2012	130	696	25	135	380	A	N	0
2012	210	9	0	0	49	M	N	0
2009	66	1	1	0		M	N	1
2010	191	1	1	1	73	M	N	1
2011	85	1	0	0	80	M	N	0
2010	118	27	10	7	379	A	N	1
2010	153	134	97	67	80	M	N	1
2011	84	18	0	0		A	N	0
2010	49	46	34	21	80	M	N	1
2010	178	2	1	1	84	M	N	0
2012	92	2	1	1	79	M	N	1
2009	198	49	1	5	332	A	N	0
2012	17	14	0	0	49	M	L	0
2010	31	12	5	5	59	M	L	0
2011	113	593	115	150	302	A	N	1
2010	126	61	34	13	73	M	N	1
2007	39	173	19	10	125	A	N	0
2012	195	115	11	7	430	A	N	0
2009	130	552	129	107	435	A	N	1
2009	185	346	33	24	426	A	N	0
2011	31	4	1	1	60	M	N	1
2012	133	38	3	3	55	M	N	0
2012	85	4	2	2	72	M	N	1
2009	172	5	0	0		M	N	0
2011	121	11	7	6	82	M	N	1
2009	63	42	11	8	389	A	N	1
2011	51	24	0	1	87	M	L	0
2012	133	1113	427	181	422	A	N	1
2009	189	1	0	0		A	N	0
2012	197	5	1	1	92	M	N	0
2012	68	10	0	1	85	M	N	0
2011	207	5	2	0		M	N	1
2007	168	129	41	16	129	A	N	1
2009	63	7	1	1	393	A	N	0
2010	174	14	10	7	60	M	N	1
2010	175	28	6	5	54	M	N	0
2011	159	107	7	14	306	A	N	0
2007	200	413	93	151	103	A	N	1
2012	206	105	41	19	47	M	N	1
2011	140	8	3	4	91	M	N	0
2010	11	4	1	0		M	N	0
2010	116	1	1	0	46	M	N	0
2009	17	24	0	0		M	N	0
2011	45	88	8	3	322	A	N	0
2012	117	2	0	0	69	M	N	0
2008	120	28	13	14	316	A	N	1
2012	155	299	111	59	419	A	N	1
2009	138	2	2	1	78	M	N	1
2011	90	17	3	1	379	A	N	1
2010	165	28	19	14	68	M	N	1
2007	185	472	46	53	129	A	N	0
2009	140	8	3	2	97	M	N	0
2012	77	5	2	2	54	M	N	0
2012	147	16	5	9	286	A	N	0
2010	23	52	5	5	374	A	N	0
2011	14	9	5	1	32	M	L	1
2008	132	650	385	70	401	A	L	1
2007	180	27	6	10	124	A	N	1
2011	158	96	21	28	233	A	E	0
2009	153	59	59	53	191	A	E	0
2012	164	47	20	12	95	M	N	1
2010	86	2	1	2	79	M	N	1
2011	61	28	6	11	312	A	N	0
2011	64	17	4	2	379	A	N	1
2009	132	163	143	83	55	M	L	1
2007	83	1152	673	418	132	O	N	1
2011	4	10	0	2	65	M	N	0
2010	167	13	3	2	95	M	N	0
2009	88	17	0	0		A	N	0
2010	108	2	1	0		A	N	1
2009	104	8	1	0		A	N	0
2009	29	2	0	0		M	N	0
2009	79	6	1	0		M	L	0
2010	50	122	86	46	51	M	N	1
2011	208	27	4	11	40	M	N	0
2012	3	1	0	0		M	N	0
2010	203	6	4	2	74	M	N	1
2010	26	11	7	7	24	M	N	1
2011	110	1	1	1	74	M	N	0
2012	207	3	0	0	61	M	N	0
2012	51	24	0	0		M	L	0
2008	172	3	1	1	77	M	N	0
2008	204	1	0	0		M	N	0
2012	157	2	1	0	50	M	N	0
2010	140	47	35	27	92	M	E	0
2012	165	6	3	0		M	L	0
2008	84	50	14	19	341	A	N	1
2008	113	442	73	131	200	A	N	1
2010	151	17	9	7	379	A	N	1
2010	102	16	9	7	46	M	L	1
2012	65	17	1	1	90	M	N	0
2007	155	254	117	115	121	A	N	1
2011	211	13	0	1	61	M	N	0
2011	16	5	1	2	367	A	N	1
2012	31	2	0	0		M	N	0
2009	153	2	0	0		M	N	0
2008	131	77	61	32	64	M	L	0
2011	20	3	0	0	71	M	N	1
2011	174	5	2	0		M	L	0
2012	1	13	8	5	85	M	N	1
2009	81	7	7	6	81	M	N	1
2011	184	10	8	6	51	M	N	0
2012	158	129	53	6	398	A	L	1
2012	51	23	0	0		M	N	0
2009	150	2	1	1	66	M	N	1
2012	19	111	9	19	49	M	N	0
2008	109	424	79	72	399	A	N	1
2008	83	1268	687	402	404	O	N	1
2010	154	38	31	26	60	M	N	1
2010	133	945	412	270	399	A	N	1
2008	183	225	9	6	375	A	N	0
2008	93	192	8	25	434	A	N	0
2012	201	67	5	13	308	A	L	0
2012	156	107	10	5	418	A	N	0
2009	40	236	105	46	59	M	N	1
2012	116	1	0	1	44	M	N	1
2010	164	28	8	0		M	N	1
2011	193	29	21	11	72	M	N	1
2010	140	12	1	0		M	N	0
2011	186	4	1	1	76	M	L	0
2010	20	8	3	3	41	M	L	0
2011	121	5	1	1	80	M	N	0
2012	201	198	5	19	366	A	N	0
2011	110	23	9	4	68	M	L	0
2009	85	1	0	0		M	N	0
2007	214	591	145	49	131	A	N	1
2009	14	29	5	5	48	M	L	0
2009	82	10	1	1	80	M	N	0
2012	171	27	13	11	80	M	N	1
2012	93	290	109	37	438	A	N	1
2011	94	186	3	66	302	A	N	0
2012	11	6	1	0		M	N	0
2010	19	272	179	67	38	M	N	1
2008	58	10	0	3	316	A	N	0
2010	64	18	2	0		A	N	1
2011	40	237	83	18	81	M	N	1
2009	47	7	0	0		M	N	0
2011	36	1	1	1	97	M	N	0
2010	14	2	0	0	50	M	L	0
2010	115	580	195	139	363	A	N	1
2012	45	133	22	50	246	A	L	0
2010	195	245	86	33	439	A	N	1
2010	172	47	44	20	42	M	N	1
2009	144	39	2	5	391	A	N	0
2010	167	83	40	32	90	M	N	1
2011	203	6	6	4	77	M	N	1
2010	110	4	1	1	68	M	N	1
2010	61	25	3	10	311	A	N	0
2012	5	59	19	3	438	A	N	1
2011	208	78	49	10	73	M	N	1
2008	74	89	25	14	424	A	N	1
2009	35	5	2	1	76	M	N	1
2011	196	1253	610	185	439	A	N	1
2012	159	239	13	26	364	A	N	0
2012	112	1	0	0		M	L	1
2007	147	117	32	15	138	A	N	1
2009	8	3	0	0		M	N	1
2012	54	4	2	1	89	M	N	0
2009	130	136	9	44	314	A	N	0
2012	178	4	0	0		M	N	0
2010	65	21	2	1	92	M	N	0
2011	198	54	27	8	81	M	L	1
2011	157	3	1	1	87	M	N	0
2012	130	1111	250	43	463	A	N	1
2011	176	5	2	0	70	M	N	0
2008	107	2	0	0		M	N	1
2007	93	403	163	22	142	A	N	1
2011	86	63	18	14	62	M	L	0
2010	134	77	10	6	364	A	N	0
2012	99	5	0	0		A	N	0
2009	40	593	198	31	451	A	N	1
2012	174	3	0	0		M	N	0
2010	202	4	1	0		M	L	0
2012	160	2	0	0	56	M	N	0
2008	93	402	169	15	459	A	N	1
2012	40	59	3	2	40	M	N	0
2011	55	35	3	5	60	M	E	0
2011	21	64	19	16	90	M	N	1
2012	86	2	1	1	70	M	N	1
2011	198	2	2	2	81	M	L	0
2012	20	13	6	6	42	M	L	1
2009	17	80	48	33	65	M	L	1
2009	78	552	110	64	421	A	N	1
2011	6	3	2	1	88	M	N	1
2010	45	204	16	86	269	A	L	0
2010	189	36	6	8	280	A	N	1
2012	122	16	4	3	77	M	N	1
2010	1	4	1	1	81	M	N	0
2010	97	12	1	3	349	A	N	0
2009	79	12	4	0		M	L	1
2010	40	256	72	45	36	M	N	1
2011	88	14	1	0		A	N	0
2010	102	12	2	1	46	M	L	0
2012	47	39	22	12	74	M	N	1
2010	198	15	0	0		M	N	0
2011	63	32	9	10	387	A	N	1
2011	71	5	3	2	83	M	N	1
2011	119	12	5	2	83	M	N	0
2011	8	5	5	3	36	M	N	1
2009	143	25	12	8	73	M	L	1
2012	174	7	6	6	80	M	N	1
2011	153	36	6	5	70	M	N	0
2012	58	10	0	3	354	A	N	0
2010	139	2	0	0		M	N	0
2010	89	1	1	0		M	N	1
2011	19	310	205	7	74	M	N	1
2009	153	18	1	1	86	M	N	0
2009	35	4	0	0		M	N	0
2010	51	67	5	1	435	A	N	0
2009	85	3	1	1	80	M	N	1
2009	4	9	0	0		M	N	0
2011	180	22	8	8	377	A	N	1
2011	7	13	0	0	51	M	N	0
2008	118	23	4	9	349	A	N	1
2011	30	4	1	0	30	M	N	1
2010	134	597	245	156	360	A	N	1
2009	214	549	139	68	426	A	N	1
2010	211	22	2	0		M	N	0
2011	153	1	0	0		M	E	0
2011	134	530	229	158	348	A	N	1
2011	118	38	9	8	387	A	N	1
2009	143	15	1	3	63	M	L	0
2012	61	23	3	5	314	A	N	0
2010	17	13	1	0	55	M	L	0
2011	72	5	0	0		M	N	0
2011	190	6	1	0		M	N	0
2009	53	12	0	0		M	N	0
2011	214	163	11	52	340	A	N	0
2009	81	1	0	0		M	N	0
2012	133	591	29	100	371	A	N	0
2012	92	1	1	1	73	M	N	0
2011	37	4	1	0	1	M	N	0
2009	158	56	9	12	176	A	E	0
2011	198	13	5	3	65	M	L	0
2012	110	2	2	2	46	M	N	0
2012	50	101	54	17	65	M	N	1
2009	16	3	1	1	430	A	N	0
2011	186	51	33	21	60	M	N	1
2008	13	11	3	2	401	A	N	1
2012	172	9	2	1	46	M	N	0
2010	183	175	10	22	385	A	N	0
2011	44	44	0	9	308	A	N	0
2012	83	1014	86	398	350	O	N	0
2007	18	56	9	2	138	A	N	0
2011	38	6	4	1	75	M	N	1
2007	132	470	273	70	121	A	L	1
2009	18	70	11	4	431	A	N	0
2009	171	14	10	8	68	M	N	1
2012	162	18	1	0		M	N	0
2009	50	71	55	34	37	M	N	1
2012	110	17	11	7	49	M	L	1
2012	35	6	5	3	82	M	N	1
2008	134	110	6	3	300	A	N	0
2011	158	110	51	13	382	A	E	1
2011	140	58	34	26	92	M	N	1
2008	25	20	0	0		A	N	0
2009	198	25	17	10	66	M	N	1
2008	33	129	64	28	318	A	E	1
2008	148	33	1	2	239	A	N	0
2012	209	4	2	2	90	M	N	0
2010	90	6	0	1	312	A	N	0
2010	206	14	1	0		M	N	0
2010	162	54	45	32	58	M	N	1
2011	151	29	9	6	388	A	N	1
2010	164	27	15	15	90	M	L	1
2010	121	3	3	2	88	M	N	0
2011	93	284	140	30	429	A	N	1
2009	142	28	5	5	367	A	N	1
2011	39	1142	330	280	364	A	N	1
2012	41	34	1	1	88	M	N	0
2012	137	146	67	56	242	A	L	0
2010	43	47	33	21	31	M	L	1
2008	76	16	1	3	358	A	N	0
2012	83	807	351	267	310	O	L	0
2010	68	3	0	0		M	N	0
2012	33	894	371	133	345	A	N	1
2009	174	7	2	0		M	L	1
2010	196	414	42	33	437	A	N	0
2010	94	110	4	35	300	A	N	0
2008	156	284	109	27	434	A	N	1
2012	65	58	37	18	92	M	N	1
2011	114	15	5	3	74	M	L	1
2009	133	248	7	6	392	A	N	0
2010	24	1	0	0		M	N	0
2011	178	6	4	3	35	M	N	1
2010	39	1119	331	278	368	A	N	1
2008	164	46	19	18	75	M	L	0
2011	17	95	60	38	46	M	N	1
2007	189	6	0	0		A	N	0
2009	99	17	0	2	359	A	N	0
2010	74	85	25	16	425	A	N	1
2011	5	101	35	9	428	A	N	1
2012	31	18	7	6	40	M	L	1
2008	129	48	10	14	164	A	E	0
2011	49	41	35	21	80	M	N	1
2012	43	34	22	18	46	M	L	1
2012	161	13	3	1	438	A	N	1
2012	214	325	72	36	435	A	N	1
2010	7	11	0	0	46	M	N	0
2010	55	135	79	41	71	M	E	1
2010	25	113	51	20	436	A	N	1
2012	116	11	7	6	44	M	L	1
2008	153	41	3	1	90	M	E	0
2009	9	6	0	0		M	N	1
2009	55	16	0	0		M	N	0
2011	91	665	262	241	323	A	N	1
2012	80	55	3	13	350	A	N	0
2007	91	551	183	232	81	A	N	1
2010	142	23	8	4	391	A	N	1
2007	83	510	29	24	129	O	N	0
2010	160	14	10	5	67	M	N	1
2012	24	4	0	0		M	N	0
2010	168	21	14	11	48	M	N	1
2011	132	125	11	52	262	A	N	0
2007	39	952	308	257	127	A	N	1
2012	179	19	16	9	50	M	L	1
2010	59	6	4	1	48	M	L	1
2008	120	10	0	0		A	N	0
2009	130	77	77	52	372	A	N	0
2008	44	142	52	71	288	A	N	1
2010	31	22	14	10	59	M	L	1
2008	10	23	1	5	362	A	N	0
2009	153	23	2	1	86	M	E	0
2010	120	18	0	3	300	A	N	0
2010	145	3	0	0		M	N	0
2010	32	3	0	0		M	N	0
2009	106	24	5	4	431	A	N	1
2011	97	89	33	10	398	A	N	1
2008	155	252	73	86	320	A	N	1
2012	109	468	119	34	439	A	N	1
2010	43	3	1	0	42	M	N	0
2008	131	3	3	0		M	N	1
2012	76	15	0	5	392	A	N	0
2011	1	13	4	3	84	M	N	1
2009	74	107	38	11	435	A	N	1
2011	23	57	8	9	295	A	N	0
2009	7	18	1	0		M	N	0
2012	117	8	5	2	69	M	N	1
2012	113	124	7	36	241	A	N	0
2007	195	51	6	15	115	A	N	0
2012	81	12	9	9	87	M	N	1
2010	139	6	3	4	67	M	N	1
2011	56	1	1	1	82	M	N	1
2010	148	26	2	7	302	A	N	0
2009	134	71	3	1	345	A	N	0
2011	196	378	34	22	430	A	N	0
2011	45	389	129	57	321	A	N	1
2010	17	33	11	5	55	M	L	1
2012	132	898	353	136	399	A	N	1
2009	153	90	66	42	80	M	N	1
2012	112	2	1	0		M	L	0
2011	101	2	0	0	1	M	N	1
2012	151	12	2	0		A	N	1
2012	86	39	23	22	64	M	L	1
2011	23	458	150	145	301	A	N	1
2009	46	2	1	1	86	M	N	0
2009	186	10	0	0		M	N	0
2012	8	2	0	0	72	M	N	0
2011	138	1	1	0	78	M	N	0
2009	191	3	0	0		M	N	0
2012	168	24	4	2	85	M	N	1
2010	62	2	2	0	41	M	L	1
2012	18	96	6	9	422	A	N	0
2012	126	18	1	1	65	M	N	0
2009	131	64	22	15	69	M	L	0
2008	196	1747	776	131	456	A	N	1
2009	95	2	2	2	89	M	N	1
2011	188	4	2	2	88	M	N	0
2012	213	6	2	2	79	M	L	0
2009	206	6	0	0		M	N	0
2010	109	158	16	52	306	A	N	0
2011	195	167	68	36	419	A	N	1
2011	117	3	1	1	63	M	L	0
2009	33	183	94	20	360	A	E	1
2011	172	49	36	13	54	M	N	1
2010	37	1	1	1	45	M	N	1
2009	55	63	36	26	53	M	N	1
2009	145	11	7	5	65	M	N	1
2012	63	8	0	0		A	N	0
2011	13	17	3	3	356	A	N	0
2009	140	28	20	13	85	M	N	1
2011	24	15	9	7	75	M	N	1
2007	189	17	5	7	84	A	N	1
2011	21	13	12	10	92	M	L	0
2009	153	294	33	25	320	A	N	0
2010	43	5	1	1	42	M	N	1
2011	153	19	6	5	80	M	E	1
2010	60	108	44	0		M	L	1
2011	77	1	0	0	1	M	N	0
2012	103	112	9	41	280	A	N	0
2011	111	53	53	49	201	A	L	0
2011	169	3	2	0	79	M	N	0
2011	21	6	0	1	95	M	N	0
2009	198	308	80	66	356	A	N	1
