ablak	szolgaltatasid	erkezett	sorrakerult	tavozott
1	5	10:50:16	11:02:04	11:03:34
4	2	10:51:00	10:56:21	10:57:59
5	3	10:51:14	10:59:35	11:00:58
3	4	10:51:19	10:58:46	11:00:02
3	4	10:51:42	11:00:07	11:01:14
4	5	10:51:51	10:58:02	10:59:28
6	5	10:52:07	11:02:42	11:03:41
2	4	10:52:25	11:03:49	11:04:52
4	3	10:52:31	10:59:35	11:01:09
2	3	10:52:45	11:04:59	11:06:16
1	4	10:53:10	11:03:39	11:05:40
2	3	10:53:34	11:06:19	11:07:56
5	4	10:53:34	11:01:03	11:02:51
3	5	10:53:44	11:01:20	11:03:04
4	2	10:54:02	11:01:15	11:04:12
6	1	10:54:12	11:03:47	11:05:55
1	3	10:55:03	11:05:45	11:06:53
2	2	10:55:44	11:08:04	11:09:39
5	1	10:56:07	11:02:54	11:05:45
3	5	10:56:15	11:03:11	11:04:05
5	3	10:56:25	11:05:51	11:07:27
6	5	10:56:29	11:06:02	11:07:06
1	3	10:56:36	11:06:56	11:08:31
4	5	10:56:39	11:04:15	11:05:45
2	3	10:56:41	11:09:42	11:10:55
5	5	10:56:45	11:07:35	11:08:28
4	5	10:56:57	11:05:48	11:07:26
3	5	10:57:36	11:04:08	11:05:29
5	4	10:57:47	11:08:31	11:09:58
2	2	10:57:50	11:10:58	11:14:00
1	3	10:58:12	11:08:35	11:09:47
5	4	10:58:24	11:10:06	11:11:22
4	5	10:58:54	11:07:34	11:08:29
6	5	10:59:09	11:07:11	11:08:25
2	4	10:59:38	11:14:08	11:15:18
5	5	11:00:09	11:11:30	11:12:37
3	5	11:00:16	11:05:36	11:07:21
1	3	11:01:12	11:09:54	11:11:13
4	4	11:01:44	11:08:33	11:10:08
5	5	11:01:51	11:12:43	11:13:37
6	4	11:01:52	11:08:30	11:10:13
4	3	11:02:07	11:10:16	11:11:35
2	1	11:02:18	11:15:23	11:18:19
3	4	11:02:21	11:07:26	11:09:20
1	3	11:02:25	11:11:20	11:12:49
4	5	11:03:03	11:11:42	11:12:35
2	5	11:03:13	11:18:22	11:19:19
5	5	11:03:35	11:13:42	11:15:13
4	4	11:04:02	11:12:41	11:13:58
1	4	11:04:07	11:12:53	11:14:25
5	4	11:04:15	11:15:16	11:16:17
6	3	11:04:40	11:10:16	11:11:37
3	4	11:04:52	11:09:24	11:11:13
5	3	11:05:04	11:16:20	11:17:58
1	1	11:05:13	11:14:32	11:17:11
2	1	11:05:17	11:19:26	11:21:14
4	3	11:05:26	11:14:03	11:15:22
4	3	11:05:54	11:15:25	11:16:53
4	3	11:06:11	11:16:58	11:18:09
6	3	11:06:21	11:11:44	11:13:14
3	4	11:06:33	11:11:19	11:13:25
2	3	11:06:41	11:21:19	11:22:32
5	4	11:06:47	11:18:06	11:20:12
2	3	11:07:26	11:22:39	11:23:58
1	4	11:07:29	11:17:18	11:18:26
4	4	11:07:41	11:18:17	11:19:48
6	3	11:08:05	11:13:22	11:14:48
2	5	11:08:36	11:24:05	11:25:35
1	1	11:09:05	11:18:33	11:19:51
5	5	11:09:09	11:20:20	11:21:49
2	5	11:09:28	11:25:39	11:27:18
3	4	11:09:29	11:13:33	11:15:19
6	4	11:09:32	11:14:55	11:16:30
4	5	11:10:24	11:19:54	11:21:33
2	5	11:10:26	11:27:26	11:28:52
1	5	11:11:05	11:19:57	11:20:53
5	5	11:11:27	11:21:54	11:23:06
6	3	11:11:47	11:16:35	11:18:03
1	3	11:11:56	11:20:58	11:22:27
4	5	11:12:13	11:21:36	11:22:38
3	1	11:12:15	11:15:23	11:18:51
5	5	11:12:54	11:23:13	11:24:20
2	4	11:13:03	11:28:58	11:30:32
4	5	11:13:44	11:22:42	11:23:36
2	4	11:13:45	11:30:40	11:31:41
6	3	11:14:00	11:18:10	11:19:28
1	1	11:14:23	11:22:35	11:25:43
5	1	11:14:54	11:24:24	11:26:40
4	5	11:14:57	11:23:42	11:24:50
3	5	11:14:59	11:18:58	11:20:07
6	4	11:15:17	11:19:33	11:21:07
4	3	11:15:59	11:24:53	11:26:26
1	4	11:16:09	11:25:49	11:27:05
3	1	11:16:09	11:20:12	11:22:52
2	2	11:16:35	11:31:46	11:33:05
1	5	11:16:47	11:27:10	11:28:34
6	4	11:17:27	11:21:12	11:22:57
1	3	11:17:31	11:28:38	11:30:10
5	4	11:17:40	11:26:46	11:28:09
6	1	11:17:44	11:23:01	11:26:19
2	5	11:18:22	11:33:11	11:34:22
4	3	11:18:28	11:26:31	11:27:55
5	5	11:18:43	11:28:17	11:29:32
3	3	11:18:44	11:23:00	11:24:36
1	3	11:18:46	11:30:16	11:31:51
4	3	11:19:39	11:28:03	11:29:23
2	5	11:19:42	11:34:30	11:36:01
5	2	11:20:04	11:29:37	11:32:24
6	4	11:20:24	11:26:26	11:28:05
1	5	11:21:02	11:31:58	11:33:15
3	1	11:21:22	11:24:44	11:28:12
4	1	11:21:51	11:29:28	11:31:18
2	2	11:22:09	11:36:06	11:37:42
5	2	11:22:13	11:32:32	11:34:36
3	3	11:22:29	11:28:20	11:29:50
1	2	11:22:55	11:33:22	11:35:50
6	5	11:23:04	11:28:09	11:29:32
2	2	11:24:09	11:37:48	11:40:06
4	5	11:24:14	11:31:23	11:32:52
5	2	11:24:19	11:34:44	11:36:50
6	2	11:24:20	11:29:36	11:31:28
3	4	11:24:58	11:29:58	11:30:56
1	3	11:25:03	11:35:54	11:37:10
6	3	11:25:37	11:31:34	11:33:03
3	5	11:25:45	11:31:02	11:32:38
1	5	11:25:57	11:37:16	11:38:50
3	3	11:26:09	11:32:46	11:34:21
2	4	11:26:12	11:40:10	11:42:00
5	5	11:26:33	11:36:53	11:38:14
5	4	11:26:58	11:38:18	11:40:04
4	5	11:27:11	11:32:58	11:34:31
6	3	11:27:12	11:33:09	11:34:41
1	4	11:27:34	11:38:58	11:40:20
5	3	11:27:46	11:40:11	11:41:28
2	3	11:28:01	11:42:07	11:43:25
3	3	11:28:09	11:34:29	11:36:04
1	5	11:29:05	11:40:25	11:41:53
6	5	11:29:45	11:34:45	11:36:14
5	5	11:29:49	11:41:34	11:42:43
2	1	11:30:01	11:43:28	11:47:19
4	4	11:30:02	11:34:39	11:35:48
3	5	11:30:03	11:36:07	11:37:21
1	5	11:30:21	11:42:01	11:43:35
1	1	11:31:02	11:43:41	11:45:02
4	4	11:31:06	11:35:56	11:37:30
6	3	11:31:27	11:36:17	11:37:50
5	3	11:31:51	11:42:48	11:44:06
3	2	11:32:02	11:37:25	11:39:18
2	4	11:32:18	11:47:26	11:49:30
2	3	11:32:53	11:49:34	11:51:10
3	4	11:33:04	11:39:23	11:41:05
5	4	11:33:09	11:44:10	11:45:09
1	3	11:33:13	11:45:10	11:46:29
4	5	11:33:23	11:37:34	11:39:11
6	5	11:34:13	11:37:58	11:38:49
3	3	11:34:22	11:41:13	11:42:28
4	4	11:34:38	11:39:19	11:41:08
2	4	11:34:41	11:51:17	11:52:26
3	3	11:34:49	11:42:35	11:43:46
4	3	11:35:21	11:41:13	11:42:32
1	4	11:35:48	11:46:35	11:48:16
5	4	11:35:55	11:45:15	11:46:35
2	3	11:36:27	11:52:32	11:53:46
1	3	11:36:37	11:48:23	11:49:53
3	2	11:36:44	11:43:52	11:45:19
6	4	11:36:47	11:38:55	11:40:17
1	4	11:37:13	11:50:00	11:51:15
3	5	11:37:16	11:45:26	11:46:12
4	3	11:37:23	11:42:40	11:43:53
5	1	11:37:30	11:46:43	11:50:39
6	1	11:37:54	11:40:25	11:44:06
1	2	11:38:10	11:51:18	11:53:38
3	5	11:38:15	11:46:17	11:47:07
2	3	11:38:23	11:53:53	11:55:25
3	5	11:38:41	11:47:13	11:48:26
3	5	11:38:58	11:48:33	11:49:32
5	5	11:39:05	11:50:44	11:52:05
4	3	11:39:09	11:43:57	11:45:28
4	5	11:39:43	11:45:35	11:46:25
6	1	11:40:07	11:44:10	11:48:01
2	4	11:40:37	11:55:31	11:57:38
1	5	11:41:08	11:53:44	11:55:17
6	3	11:41:29	11:48:06	11:49:16
3	1	11:41:32	11:49:35	11:52:29
3	4	11:41:50	11:52:36	11:53:45
1	4	11:41:58	11:55:21	11:56:54
5	4	11:42:02	11:52:09	11:53:15
4	5	11:42:20	11:46:28	11:47:35
2	1	11:42:52	11:57:44	12:00:36
1	2	11:43:01	11:56:57	11:59:16
5	4	11:43:10	11:53:21	11:54:59
6	4	11:43:17	11:49:19	11:50:38
3	3	11:43:24	11:53:52	11:55:07
4	5	11:44:10	11:47:43	11:49:04
5	5	11:44:34	11:55:06	11:56:28
3	4	11:44:47	11:55:15	11:56:49
4	5	11:45:00	11:49:11	11:50:23
5	4	11:45:09	11:56:33	11:58:24
2	5	11:45:31	12:00:41	12:01:52
1	1	11:45:34	11:59:19	12:01:07
4	3	11:45:46	11:50:31	11:51:50
6	4	11:46:08	11:50:44	11:52:47
3	2	11:46:12	11:56:57	11:59:31
1	3	11:46:34	12:01:10	12:02:18
3	3	11:47:19	11:59:36	12:00:53
5	3	11:47:43	11:58:30	11:59:59
6	3	11:47:57	11:52:54	11:54:29
2	4	11:48:05	12:01:59	12:03:27
5	4	11:48:11	12:00:04	12:01:50
3	5	11:48:19	12:00:57	12:02:14
4	4	11:48:33	11:51:58	11:53:54
3	3	11:48:37	12:02:20	12:03:32
1	3	11:48:39	12:02:24	12:03:57
4	2	11:49:44	11:53:58	11:57:05
5	5	11:49:45	12:01:53	12:03:00
3	4	11:49:53	12:03:36	12:04:57
1	3	11:50:12	12:04:01	12:05:17
4	4	11:50:37	11:57:10	11:58:10
6	3	11:50:43	11:54:37	11:56:04
2	1	11:51:00	12:03:34	12:06:23
4	1	11:51:30	11:58:15	12:00:58
5	5	11:51:58	12:03:07	12:04:39
3	4	11:52:02	12:05:04	12:06:26
1	4	11:52:14	12:05:25	12:06:57
2	4	11:52:26	12:06:30	12:07:27
4	5	11:52:41	12:01:03	12:02:10
3	3	11:52:58	12:06:34	12:07:43
2	4	11:53:19	12:07:31	12:09:10
6	4	11:53:32	11:56:08	11:57:06
5	3	11:53:46	12:04:45	12:06:11
3	4	11:54:06	12:07:48	12:09:37
3	3	11:54:42	12:09:45	12:11:12
5	1	11:54:43	12:06:18	12:09:18
1	3	11:54:51	12:07:01	12:08:10
2	4	11:55:06	12:09:13	12:11:19
4	4	11:55:23	12:02:14	12:03:28
1	4	11:55:54	12:08:14	12:09:12
3	5	11:55:54	12:11:17	12:12:34
6	1	11:56:03	11:57:14	12:00:10
4	5	11:56:04	12:03:33	12:04:59
5	3	11:57:15	12:09:23	12:10:43
4	5	11:57:35	12:05:06	12:06:36
1	5	11:57:41	12:09:17	12:10:23
2	4	11:57:52	12:11:26	12:12:45
4	5	11:57:57	12:06:44	12:08:17
3	5	11:57:59	12:12:41	12:14:00
6	1	11:58:11	12:00:14	12:03:46
5	1	11:59:07	12:10:50	12:12:40
6	5	11:59:12	12:03:52	12:05:30
3	5	11:59:15	12:14:03	12:14:48
